ï»¿Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg)
1,Driver,Driver,03/24/2025 23:41:57,119.1,3.1,24,4011,962,4125,175.8,191.2,33.9,41.4,50.5
2,Driver,Driver,03/24/2025 23:42:28,127.3,-1,19.4,2850,534,2900,205.7,225.5,16.7,37.3,45
3,Driver,Driver,03/24/2025 23:42:53,134.6,-4.6,13.6,3337,874,3450,210.2,232.1,12.2,29.7,40.6
4,Driver,Driver,03/24/2025 23:43:21,129.6,-4.2,15.7,2383,447,2425,213.8,239.5,3.1,29.5,38.4
5,Driver,Driver,03/24/2025 23:43:43,131.4,-3,14.7,3178,1059,3350,204.6,224.7,24.4,29.6,40.7
6,Driver,Driver,03/24/2025 23:44:06,131.8,-1.9,16.2,2959,624,3024,212.1,232.3,16.6,33.4,42.4
7,Driver,Driver,03/24/2025 23:44:27,132.6,-7.2,12.8,2134,-258,2150,218,246,-43.4,23.6,32.5
8,Driver,Driver,03/24/2025 23:44:49,129.9,-1.9,17,2045,350,2075,220.7,237.3,9.2,31.2,38.4
9,Driver,Driver,03/24/2025 23:45:12,136.1,-8,8.8,2115,-197,2124,210.7,239.8,-42.1,15.5,24.4
10,Driver,Driver,03/24/2025 23:45:40,132.7,-1.8,15.1,3363,768,3450,208.1,227.6,19.3,32.1,42.4
11,Driver,Driver,03/24/2025 23:46:03,128,-2.4,13.2,4776,1857,5124,182.7,197.8,30.7,26.5,41.6
12,Driver,Driver,03/24/2025 23:46:25,127.4,2.6,17.2,5312,1423,5499,182.8,196.2,37.9,35.2,47.7
13,Driver,Driver,03/24/2025 23:46:45,127.9,-2.5,6.3,3424,-56,3424,179.9,204.1,-10.2,12.5,24.6
14,5 iron5i,Iron,03/24/2025 23:48:06,110.4,1.5,18.7,3650,0,3650,164.3,175.8,4.5,27,41.8
15,5 iron5i,Iron,03/24/2025 23:48:27,117,0.2,17.2,6725,815,6774,161.6,165.3,11,30.3,46.4
16,5 iron5i,Iron,03/24/2025 23:48:48,110.6,2,18.1,4459,1225,4624,157.6,173.2,28.5,26,42.5
17,5 iron5i,Iron,03/24/2025 23:49:11,115.4,-0.6,12.5,5553,1167,5674,159,171.7,15.7,20.6,37.9
18,5 iron5i,Iron,03/24/2025 23:49:33,113.9,-0.9,19.2,4839,318,4849,164.4,171.7,2.9,30.9,45.7
19,5 iron5i,Iron,03/24/2025 23:49:56,110.6,-0.8,17.6,4495,196,4499,159.5,177,1.2,26,42.1
20,5 iron5i,Iron,03/24/2025 23:50:38,111,0.9,19.1,6190,1026,6274,153.2,164.9,16.9,29.4,46.3
21,5 iron5i,Iron,03/24/2025 23:51:04,114.1,-4.3,15.8,5874,32,5874,159.8,170.8,-12.3,26.1,43
22,5 iron5i,Iron,03/24/2025 23:51:25,115,-2.2,16.3,4745,-207,4750,166.1,173.1,-10.3,26.7,42.3
23,5 iron5i,Iron,03/24/2025 23:51:47,113.6,0.3,19,4751,469,4774,164.1,171.8,9,30.3,45.2
24,5 iron5i,Iron,03/24/2025 23:52:08,108.7,0.5,19.3,4016,821,4099,157.7,174.1,17.9,26.8,42.7
25,5 iron5i,Iron,03/24/2025 23:52:28,114.9,-0.8,19.9,5584,673,5624,162.1,167.3,7.7,32.8,47.5
26,5 iron5i,Iron,03/24/2025 23:52:54,112.2,1.4,20.2,5472,1766,5750,155.8,168.3,31,30.6,46.9
27,5 iron5i,Iron,03/24/2025 23:54:05,115.4,0.3,20.4,5318,584,5350,164.1,169.9,10.2,33.9,47.9
28,5 iron5i,Iron,03/24/2025 23:54:31,108.7,-2.2,20.2,3991,262,4000,159.1,176.8,-1.2,28.6,43.9
29,5 iron5i,Iron,03/24/2025 23:54:51,106,-0.7,18.4,2496,136,2500,161.1,181.9,1.5,22.5,36.5
30,5 iron5i,Iron,03/24/2025 23:55:12,112.7,1.4,22.1,4492,719,4549,163,177.8,18.6,34.4,47.9
31,5 iron5i,Iron,03/24/2025 23:55:34,111.6,0.1,20.3,5118,253,5124,158.9,173.4,4.6,31.3,46.5
32,5 iron5i,Iron,03/24/2025 23:56:18,114.2,-2.7,18.5,5699,62,5699,161.1,174.7,-7.2,30.4,46
33,5 iron5i,Iron,03/24/2025 23:56:49,108.1,-0.3,19.6,3722,142,3725,159.5,178.3,2.3,27.2,42.4
