Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Lob Wedge,Wedge,09/09/2024 07:23:48,51.4,2.4,47.5,3173,-103,3175,47.8,51.2,1.9,16.2,54.7,,,,,,,,,,,
2,Lob Wedge,Wedge,09/09/2024 07:23:58,44.4,1.9,46,3149,-34,3149,37.8,42.9,1.4,11.5,51.8,,,,,,,,,,,
3,Lob Wedge,Wedge,09/09/2024 07:24:19,29.4,1.3,41.1,2484,-665,2571,18.1,22.5,0.2,4.3,44,,,,,,,,,,,
4,Lob Wedge,Wedge,09/09/2024 07:25:02,41.6,4.9,47.1,2847,108,2849,33.7,38.8,3.5,10.5,52.2,,,,,,,,,,,
5,Lob Wedge,Wedge,09/09/2024 07:25:02,40.6,3.2,48.6,1950,0,1950,32.2,37.5,2.1,10.4,53,,,,,,,,,,,
6,Lob Wedge,Wedge,09/09/2024 07:25:24,31.3,0.5,42.6,2286,24,2286,20.5,24.8,0.2,5.1,45.8,,,,,,,,,,,
7,Lob Wedge,Wedge,09/09/2024 07:25:29,64.3,-4.9,21.7,6299,-68,6299,67.1,78.4,-6.9,8.9,31.8,,,,,,,,,,,
8,Lob Wedge,Wedge,09/09/2024 07:25:57,32.3,2,39.8,4250,-279,4259,21.5,25.3,0.7,4.9,43.6,,,,,,,,,,,
9,Lob Wedge,Wedge,09/09/2024 07:26:04,35.4,1.4,36.6,5253,-779,5310,25.3,29.5,0.3,5.2,41,,,,,,,,,,,
10,Lob Wedge,Wedge,09/09/2024 07:26:26,37.6,0.3,30,6774,-446,6789,26.8,32.3,-0.1,4.4,34.7,,,,,,,,,,,
11,Lob Wedge,Wedge,09/09/2024 07:26:49,41,2,45.8,2774,-45,2774,33.1,38.2,1.3,9.8,50.8,,,,,,,,,,,
12,Lob Wedge,Wedge,09/09/2024 07:26:49,42.6,3,47.6,1724,47,1725,35.6,41.7,2.3,11.1,52.2,,,,,,,,,,,
13,Lob Wedge,Wedge,09/09/2024 07:27:21,46.4,-0.3,50.6,1524,-16,1524,40.4,48.2,-0.3,14.3,55.5,,,,,,,,,,,
14,Lob Wedge,Wedge,09/09/2024 07:28:26,42.6,6.2,51.6,1124,31,1124,34.8,41.2,4.5,12.3,55.5,,,,,,,,,,,
15,Lob Wedge,Wedge,09/09/2024 07:29:08,43.1,10,53.5,1315,158,1324,34.3,40.2,7.3,13.2,57.6,,,,,,,,,,,
16,Lob Wedge,Wedge,09/09/2024 07:29:09,49.4,5.9,54.6,1899,10,1899,41.6,45.1,4.6,17.7,59.9,,,,,,,,,,,
17,Lob Wedge,Wedge,09/09/2024 07:29:30,53.3,-1.7,44.3,2581,-312,2600,52.9,58.3,-2.9,15.9,51.7,,,,,,,,,,,
18,Lob Wedge,Wedge,09/09/2024 07:29:31,48.8,5.4,48.1,1616,168,1625,45.1,51.1,5.4,14.8,53.6,,,,,,,,,,,
19,Lob Wedge,Wedge,09/09/2024 07:29:52,51.4,2.2,52.6,1849,-30,1849,46,50.5,1.8,18.3,58.4,,,,,,,,,,,
20,Lob Wedge,Wedge,09/09/2024 07:30:14,49.7,4.5,47.6,2174,11,2174,46,51,4,15.1,53.8,,,,,,,,,,,
21,Lob Wedge,Wedge,09/09/2024 07:30:35,50.9,3.7,53.3,1972,96,1974,44.7,48.7,3.5,18.2,59,,,,,,,,,,,
22,Lob Wedge,Wedge,09/09/2024 07:31:00,56.3,1.5,50.5,2139,-210,2149,54.6,59.5,0.6,20.9,57.6,,,,,,,,,,,
23,Lob Wedge,Wedge,09/09/2024 07:31:43,66.3,10.2,20.7,6655,2812,7225,68.3,78.3,22,8.6,30.9,,,,,,,,,,,
24,Lob Wedge,Wedge,09/09/2024 07:31:43,48.9,5.6,52.9,1363,179,1375,43.1,48.2,5.4,16.7,57.8,,,,,,,,,,,
25,Lob Wedge,Wedge,09/09/2024 07:31:44,49.8,3.4,52.6,1622,97,1625,44.2,49,3.2,17.2,57.9,,,,,,,,,,,
26,Lob Wedge,Wedge,09/09/2024 07:32:48,62.9,-0.1,39.3,9023,-147,9024,65.4,68.6,-0.5,19.5,52.5,,,,,,,,,,,
27,Lob Wedge,Wedge,09/09/2024 07:34:13,53,-2.4,48.9,2274,37,2274,50.4,55.2,-2.2,17.8,55.7,,,,,,,,,,,
28,Lob Wedge,Wedge,09/09/2024 07:34:13,53.4,4.8,51.8,1499,16,1499,50.6,55.3,4.7,19.5,57.7,,,,,,,,,,,
29,Gap wedge,Wedge,09/09/2024 07:34:35,70.5,2.6,42.3,2746,-135,2749,83.6,89.3,3,26.5,53.6,,,,,,,,,,,
30,Lob Wedge,Wedge,09/09/2024 07:34:35,52.4,7.5,56.4,1546,110,1550,44.9,49.1,6.8,20.6,61.7,,,,,,,,,,,
31,Gap wedge,Wedge,09/09/2024 07:35:49,65.9,3.3,33.3,8546,233,8549,73,77.7,5.2,17.5,47.3,,,,,,,,,,,
32,Gap wedge,Wedge,09/09/2024 07:36:10,69.3,5,42,2219,157,2225,83.5,90.5,9.3,25.3,52.4,,,,,,,,,,,
33,Gap wedge,Wedge,09/09/2024 07:36:32,63.5,2.6,38.1,2745,-164,2750,73,84.8,2.7,18.7,48,,,,,,,,,,,
34,Gap wedge,Wedge,09/09/2024 07:36:53,64.3,8.7,46.6,1471,104,1475,73.7,84.1,13.8,24.8,54.6,,,,,,,,,,,
35,Gap wedge,Wedge,09/09/2024 07:37:57,81.2,-4,37.3,2454,-475,2500,108.8,121,-15.3,30.3,51,,,,,,,,,,,
36,Gap wedge,Wedge,09/09/2024 07:39:00,69.6,-3.6,32.5,6186,-407,6199,81.2,88.7,-7.4,18.8,46.5,,,,,,,,,,,
