Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Loft (deg),Spin Efficiency
1,5h,Hybrid,5/30/2024 23:22,111.8,7.6,23.7,2784,894,2924,170.7,186.4,50,34.4,46.3,89.44,87.6512,,18.7,9.12,7.6,27,32.8980322
2,5h,Hybrid,5/30/2024 23:23,105.1,6.3,24.3,3108,760,3200,156.4,172.7,37.2,31.9,46.2,84.08,82.3984,,19.3,7.56,6.3,27,36.80304472
3,5h,Hybrid,5/30/2024 23:24,111.8,0.1,17.3,4892,1032,5000,157.2,170.4,17.9,26.2,43,89.44,87.6512,,12.3,0.12,0.1,27,52.98747764
4,5h,Hybrid,5/30/2024 23:24,116.3,-1.3,19.1,4008,732,4074,172.2,187.3,12.8,31.6,45.3,93.04,91.1792,,14.1,-1.56,-1.3,27,40.7566638
5,5h,Hybrid,5/30/2024 23:25,120.8,6.2,19.7,4442,1374,4650,174.8,188.3,50,34.8,47.7,96.64,94.7072,,14.7,7.44,6.2,27,48.14569536
6,4h,Hybrid,5/30/2024 23:26,127.5,2.5,16.5,4274,-46,4274,188.9,204.3,7.8,33.5,45.4,102,99.96,,11.5,3,2.5,24,33.16078431
7,4h,Hybrid,5/30/2024 23:27,120.8,-8.6,10.1,3656,-709,3724,170.7,188.9,-44.7,16.8,31.3,96.64,94.7072,,5.1,-10.32,-8.6,24,24.39569536
8,4h,Hybrid,5/30/2024 23:27,111.8,0.1,16.4,1767,-342,1800,176,199.6,-13.1,20.4,31.7,89.44,87.6512,,11.4,0.12,0.1,24,12.74597496
9,4h,Hybrid,5/30/2024 23:28,125.3,0.4,21.1,3276,395,3300,194.1,211.2,14.6,39.9,47.8,100.24,98.2352,,16.1,0.48,0.4,24,29.29768555
10,4h,Hybrid,5/30/2024 23:28,118.6,-9,11.2,3695,466,3724,172.2,189,-19,18.7,33.5,94.88,92.9824,,6.2,-10.8,-9,24,35.08431703
