,Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec),ï»¿Shot Number
0,2.0,SW,Wedge,03/23/2025 20:29:07,70.2,7.4,38.8,6111,400,6124,77.9,88.4,11.5,23.6,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,3.0,SW,Wedge,03/23/2025 20:29:06,69.7,3.3,35.9,307,168,350,91.8,108.4,8.1,18.4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,4.0,SW,Wedge,03/23/2025 20:29:07,65.1,4.7,34.7,6950,0,6950,71.0,82.3,5.8,17.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,5.0,SW,Wedge,03/23/2025 20:29:07,68.7,2.7,33.6,7721,1102,7799,76.5,88.0,6.9,19.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,6.0,SW,Wedge,03/23/2025 20:29:07,69.6,6.1,36.6,5222,170,5225,79.1,90.2,9.1,21.6,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,7.0,SW,Wedge,03/23/2025 20:29:07,74.3,6.7,33.7,6265,-342,6274,87.1,98.5,8.5,22.6,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,8.0,SW,Wedge,03/23/2025 20:29:07,73.2,2.4,33.7,8424,45,8424,83.1,94.3,3.7,22.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,9.0,SW,Wedge,03/23/2025 20:29:07,77.6,1.3,33.5,8684,-521,8700,89.5,100.6,0.0,24.8,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,10.0,SW,Wedge,03/23/2025 20:29:07,64.0,8.5,34.6,6171,816,6225,69.6,72.2,12.5,16.9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,11.0,SW,Wedge,03/23/2025 20:29:07,75.8,0.7,35.8,5964,-655,6000,88.6,99.7,-2.1,25.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,12.0,SW,Wedge,03/23/2025 20:29:07,78.2,1.3,34.6,7141,-350,7150,91.7,94.3,0.5,26.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
77,79.0,Dr,FW,03/23/2025 20:29:07,132.2,-2.1,12.5,2443,173,2449,213.8,219.3,-1.7,24.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
78,80.0,Dr,FW,03/23/2025 20:29:07,127.2,-3.7,15.9,1170,-361,1224,209.5,233.3,-29.7,21.4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
79,81.0,Dr,FW,03/23/2025 20:29:07,124.5,-4.3,18.1,1872,92,1874,211.1,216.4,-12.1,30.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80,83.0,Dr,FW,03/23/2025 20:29:07,132.6,2.3,15.4,2255,296,2274,221.7,240.0,20.8,29.9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
