Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,SW,Wedge,04/07/2025 20:52:31,62.6,0.9,40,4849,-26,4849,66.5,81.7,-0.2,18.2,48.9,,,,,,,,,,,
2,SW,Wedge,04/07/2025 20:52:47,73.8,-4.5,36,6462,-1066,6549,88.4,92.8,-14.5,23.6,49.1,,,,,,,,,,,
3,SW,Wedge,04/07/2025 20:53:29,69.3,0.9,38.5,4910,-377,4924,80.1,87.2,-2,22.1,49.5,,,,,,,,,,,
4,SW,Wedge,04/07/2025 20:53:45,67.1,0.9,38.4,6712,-403,6724,74.8,78,-1.4,20.7,49.5,,,,,,,,,,,
5,PW,Wedge,04/07/2025 20:54:35,80.5,2.5,30.5,6092,299,6099,100.5,107.6,4.8,22.8,45.6,,,,,,,,,,,
6,PW,Wedge,04/07/2025 20:54:58,78.3,0.7,30.7,5897,160,5899,97.7,105.1,0.4,21.8,45.1,,,,,,,,,,,
7,PW,Wedge,04/07/2025 20:55:23,80.5,-3.1,30.2,4813,-771,4874,104.8,112.8,-14.1,22.8,44.4,,,,,,,,,,,
8,PW,Wedge,04/07/2025 20:55:38,80.5,1.3,32.4,7325,0,7325,100.5,104.4,0.5,25.4,48.2,,,,,,,,,,,
9,PW,Wedge,04/07/2025 20:55:59,85,2.1,32.5,5730,-469,5749,107.9,113.4,-1,27.2,48.2,,,,,,,,,,,
10,PW,Wedge,04/07/2025 20:56:32,80.5,3.4,32.6,7940,738,7974,98.7,101.4,7.9,25.3,48.7,,,,,,,,,,,
11,PW,Wedge,04/07/2025 20:56:54,76.1,2,34,3599,19,3599,98.3,110.7,2.4,23.5,46.2,,,,,,,,,,,
12,PW,Wedge,04/07/2025 20:57:07,82.8,3.8,34.2,7121,233,7125,102.7,106.7,6.7,28.2,50.1,,,,,,,,,,,
13,PW,Wedge,04/07/2025 20:57:29,78.3,-0.3,32.2,5543,-274,5550,97.2,105,-4.3,22.8,46.3,,,,,,,,,,,
14,8i,Iron,04/07/2025 20:58:35,98.4,0.8,24,6649,72,6649,134.6,141.4,0,27.8,45.1,,,,,,,,,,,
15,8i,Iron,04/07/2025 20:59:09,100.7,-0.2,22.9,6535,-717,6574,137.4,143.5,-10.2,27,44.1,,,,,,,,,,,
16,8i,Iron,04/07/2025 20:59:27,91.7,2.8,25.5,6835,450,6850,122.5,129.2,7.9,25.4,44.5,,,,,,,,,,,
17,Dr,Driver,04/07/2025 21:01:48,136.5,2.1,13.6,4002,1095,4149,208.4,233.1,36.9,30.3,40.7,,,,,,,,,,,
18,Dr,Driver,04/07/2025 21:02:19,134.2,-0.6,15.8,2670,146,2674,226.3,243.7,0.3,32.7,39.1,,,,,,,,,,,
19,Dr,Driver,04/07/2025 21:02:58,136.5,-4.4,13.4,3411,661,3474,214.4,232.1,0.1,29,38.5,,,,,,,,,,,
20,Dr,Driver,04/07/2025 21:03:25,140.9,-4,13,1874,-437,1924,237.5,267.6,-45.5,24.3,30.1,,,,,,,,,,,
21,Dr,Driver,04/07/2025 21:03:58,140.9,1.7,15.4,3783,562,3825,222.9,247.7,22.8,37.1,43.5,,,,,,,,,,,
