Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,SW,Wedge,04/02/2025 03:54:31,73.8,-3,14,5727,-455,5745,75,88.2,-6.4,6.5,24.4,,,,,,,,,,,
2,GW,Wedge,04/02/2025 03:55:07,71.6,0.1,33.5,10372,-226,10374,78.8,83.3,-0.1,21.3,51.6,,,,,,,,,,,
3,GW,Wedge,04/02/2025 03:55:28,78.3,1,34.2,8531,-559,8549,88.8,90.3,0.8,25.4,52.6,,,,,,,,,,,
4,GW,Wedge,04/02/2025 03:55:51,76.1,2.1,41.8,3899,-42,3899,86.8,93.3,3.6,29.6,55.9,,,,,,,,,,,
5,GW,Wedge,04/02/2025 03:58:55,73.8,3.8,41.1,3074,-50,3074,86.5,94.7,6.2,27.4,54,,,,,,,,,,,
6,GW,Wedge,04/02/2025 03:59:22,76.1,1.6,44.1,2349,-12,2349,92,100.8,2.6,32.6,56.6,,,,,,,,,,,
7,GW,Wedge,04/02/2025 03:59:47,67.1,3.9,42.6,2818,184,2824,75.7,77,6.6,23.9,54.1,,,,,,,,,,,
8,GW,Wedge,04/02/2025 04:00:09,80.5,-0.5,31.8,10026,-990,10075,93,92.9,-4.8,25.6,52.4,,,,,,,,,,,
9,GW,Wedge,04/02/2025 04:00:39,78.3,-1.7,29.6,10134,-553,10149,90.5,90.9,-4.9,22.1,49.3,,,,,,,,,,,
10,GW,Wedge,04/02/2025 04:00:56,71.6,3.3,32.9,9196,250,9199,81.1,88.2,6.6,20.9,50.1,,,,,,,,,,,
11,PW,Wedge,04/02/2025 04:01:44,78.3,2.7,34.9,5587,368,5599,92.2,96,7.3,25.5,51.8,,,,,,,,,,,
12,PW,Wedge,04/02/2025 04:02:04,85,0.1,36.3,4523,98,4524,104.4,111.6,1.1,31.8,53.6,,,,,,,,,,,
13,PW,Wedge,04/02/2025 04:02:25,82.8,1.9,33.8,5589,337,5599,102.9,108.4,5.9,29.1,52.4,,,,,,,,,,,
14,PW,Wedge,04/02/2025 04:02:46,82.8,4,37.9,3545,174,3549,105.1,114.9,10.4,32.8,54.2,,,,,,,,,,,
15,9i,Iron,04/02/2025 04:03:48,87.2,3.4,32.8,4408,387,4425,114.8,121.1,11.8,31,52.2,,,,,,,,,,,
16,9i,Iron,04/02/2025 04:04:20,89.5,1,30.6,6431,494,6450,112.3,115.6,6.4,29.4,51.9,,,,,,,,,,,
17,9i,Iron,04/02/2025 04:04:47,91.7,-0.6,23.6,9966,820,10000,114.7,114.8,3.6,24.5,48.7,,,,,,,,,,,
18,9i,Iron,04/02/2025 04:05:09,91.7,-1,28.1,5824,-95,5825,121.1,129.1,-4.7,29.2,50.3,,,,,,,,,,,
19,9i,Iron,04/02/2025 04:05:31,87.2,2,21.8,6216,857,6275,114.1,119.1,11.5,19.6,43.3,,,,,,,,,,,
20,9i,Iron,04/02/2025 04:05:43,91.7,-2.1,25.2,9638,-473,9650,113.3,114.1,-6.7,25.7,49.3,,,,,,,,,,,
21,9i,Iron,04/02/2025 04:06:20,89.5,0.2,28,6138,-674,6175,115.7,120.6,-4.7,27.2,49.8,,,,,,,,,,,
22,9i,Iron,04/02/2025 04:06:35,89.5,-2.3,21.6,9523,155,9524,112.3,113.6,-3.6,21,45.7,,,,,,,,,,,
23,9i,Iron,04/02/2025 04:06:53,94,-0.1,27,8400,0,8400,119.7,121.4,-0.4,30,51.5,,,,,,,,,,,
24,9i,Iron,04/02/2025 04:07:49,91.7,3.8,34.4,3999,-65,4000,121,130.9,7.9,35.7,53.9,,,,,,,,,,,
25,9i,Iron,04/02/2025 04:08:04,82.8,-1.8,29.4,4897,161,4900,106,114.8,0.2,23.9,48.2,,,,,,,,,,,
26,9i,Iron,04/02/2025 04:08:16,91.7,-1.3,25.3,9771,-266,9775,114.1,114.8,-4.1,26.3,49.7,,,,,,,,,,,
27,8i,Iron,04/02/2025 04:09:17,100.7,-1,24.2,6059,-699,6099,134.5,140.8,-10.2,29.6,49,,,,,,,,,,,
28,8i,Iron,04/02/2025 04:09:34,100.7,0.7,25,7319,-279,7324,130.6,134,0.7,30.7,50.2,,,,,,,,,,,
29,8i,Iron,04/02/2025 04:09:52,98.4,0.2,25.1,5949,-32,5949,132.6,137.7,0.2,29.9,49.5,,,,,,,,,,,
30,8i,Iron,04/02/2025 04:10:24,100.7,0.3,27.1,6024,98,6025,135.4,140.6,1.6,34.4,51.9,,,,,,,,,,,
31,8i,Iron,04/02/2025 04:10:54,98.4,1.9,25.5,6245,238,6250,130,134.4,7.3,29.8,49.8,,,,,,,,,,,
32,8i,Iron,04/02/2025 04:11:50,94,1.6,23.7,4210,-350,4225,129.1,140.2,-0.4,24.2,44.9,,,,,,,,,,,
33,7i,Iron,04/02/2025 04:12:41,98.4,5,29.7,3921,172,3925,135.7,152.2,16,34.6,51.3,,,,,,,,,,,
34,7i,Iron,04/02/2025 04:13:26,102.9,1.8,24.2,5995,592,6024,137.4,148.9,12.3,30.6,49.4,,,,,,,,,,,
35,7i,Iron,04/02/2025 04:13:44,91.7,-2.9,20.6,3119,-912,3250,126.8,132.8,-19.6,18.8,38.2,,,,,,,,,,,
36,7i,Iron,04/02/2025 04:14:28,102.9,-0.7,25.5,4948,134,4950,142.4,150.1,0.5,33,49.9,,,,,,,,,,,
37,7i,Iron,04/02/2025 04:14:51,89.5,5.4,30.1,3857,574,3899,121.3,125.8,17.5,29,49.7,,,,,,,,,,,
38,7i,Iron,04/02/2025 04:15:06,100.7,0.8,22.8,6356,488,6375,133.5,145.4,8.1,27.6,47.8,,,,,,,,,,,
