Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Pitching Wedge,Wedge,09/04/2024 23:49:40,71.4,2.4,30.5,3817,-912,3924,86,99,-2.8,17.9,43.9,,,,,,,,,,,
2,Pitching Wedge,Wedge,09/04/2024 23:49:59,66.6,0.7,26.2,2910,-615,2974,76,90.2,-3.3,12.1,36.2,,,,,,,,,,,
3,Pitching Wedge,Wedge,09/04/2024 23:50:15,82.9,7.2,36.1,3316,236,3324,107.3,117.7,17.6,30.7,52,,,,,,,,,,,
4,Pitching Wedge,Wedge,09/04/2024 23:50:50,84.9,4.5,29.7,8053,-862,8099,104.1,105.4,3.8,26.3,50.1,,,,,,,,,,,
5,Pitching Wedge,Wedge,09/04/2024 23:51:07,81,3.6,34.4,2971,-136,2974,106.5,111.3,5.4,27.5,49.5,,,,,,,,,,,
6,Pitching Wedge,Wedge,09/04/2024 23:51:22,84,5.5,27.9,7837,438,7849,103.9,105.3,12.3,24,48,,,,,,,,,,,
7,Pitching Wedge,Wedge,09/04/2024 23:51:44,87.3,1.5,35.3,2298,-87,2300,122,135.9,1.7,33,50.7,,,,,,,,,,,
8,Pitching Wedge,Wedge,09/04/2024 23:52:02,75.9,5.6,31.9,3725,0,3725,95.2,102,9.9,21.9,46.6,,,,,,,,,,,
9,Pitching Wedge,Wedge,09/04/2024 23:52:25,87.4,-0.1,31.2,3122,-412,3149,119.6,131.9,-6.5,28.7,48.3,,,,,,,,,,,
10,Pitching Wedge,Wedge,09/04/2024 23:52:47,85.8,0.4,30.6,4565,-299,4575,111.8,121.7,-2.1,27.4,49,,,,,,,,,,,
11,Pitching Wedge,Wedge,09/04/2024 23:53:11,70.3,1.2,30.3,2756,318,2774,86.2,103,5.3,17.1,42,,,,,,,,,,,
12,9 iron,Iron,09/04/2024 23:54:49,96.9,-3.9,24,6158,-1442,6325,128.4,137.2,-23.8,27.2,47.1,,,,,,,,,,,
13,9 iron,Iron,09/04/2024 23:55:03,93.1,3.9,27.2,9209,859,9249,116.1,121.2,13.7,29.5,50.9,,,,,,,,,,,
14,9 iron,Iron,09/04/2024 23:55:22,94.3,-0.5,30.9,3479,-381,3500,131.2,136.9,-6.9,33.5,50.3,,,,,,,,,,,
15,9 iron,Iron,09/04/2024 23:55:45,90.1,-1.1,27.1,652,-253,699,137,163.2,-13.4,21.4,35.3,,,,,,,,,,,
16,9 iron,Iron,09/04/2024 23:55:57,99.7,-1.9,25.9,8363,-780,8399,128,129.4,-10.2,32.3,51.1,,,,,,,,,,,
17,9 iron,Iron,09/04/2024 23:56:18,92.6,0.4,19.1,9725,693,9750,116.5,122.7,5,20.1,42.8,,,,,,,,,,,
18,9 iron,Iron,09/04/2024 23:56:40,95.7,2.4,32.6,3020,166,3025,135.5,141.2,9,36.7,51.4,,,,,,,,,,,
19,9 iron,Iron,09/04/2024 23:57:01,100.7,-2.9,29.7,3657,-707,3725,142.2,154.5,-20.5,36.6,50.9,,,,,,,,,,,
20,9 iron,Iron,09/04/2024 23:57:15,97.4,-0.2,24.7,9518,-363,9525,123.4,124.1,-2.6,29.6,50.1,,,,,,,,,,,
21,9 iron,Iron,09/04/2024 23:57:38,91.4,5.3,35.2,2674,29,2674,127.4,133.6,12.9,36.3,52.2,,,,,,,,,,,
22,9 iron,Iron,09/04/2024 23:57:50,98.5,-3.2,27.5,3579,-570,3624,140.1,152.9,-18.8,32.1,48.3,,,,,,,,,,,
23,8 iron,Iron,09/04/2024 23:58:45,99.9,-0.2,22.9,6771,-856,6825,132.9,136,-8.4,28.1,47.4,,,,,,,,,,,
24,8 iron,Iron,09/04/2024 23:59:31,104,0.6,24.8,5179,-685,5224,143.8,147.8,-7.2,32.8,49,,,,,,,,,,,
25,8 iron,Iron,09/04/2024 23:59:51,82.5,3.6,22.5,2222,-906,2400,107.5,125.7,-5.7,15.4,34.5,,,,,,,,,,,
26,8 iron,Iron,09/05/2024 00:00:13,102.4,2.7,23.4,9123,-149,9124,132.1,133.1,5.2,31.2,50.1,,,,,,,,,,,
27,8 iron,Iron,09/05/2024 00:00:30,104.8,2.2,28.4,4239,-302,4250,147.5,151.7,1.1,38.3,51.4,,,,,,,,,,,
28,8 iron,Iron,09/05/2024 00:01:00,97.7,7.2,25.5,9140,3172,9675,122.2,127,37,29.6,50.7,,,,,,,,,,,
29,8 iron,Iron,09/05/2024 00:01:14,95.1,0,27.5,3137,-485,3174,136.1,145.4,-8.4,29.6,46.6,,,,,,,,,,,
30,8 iron,Iron,09/05/2024 00:01:34,101.8,2.7,30.3,4324,23,4324,140.4,146,7.1,38.7,52.4,,,,,,,,,,,
31,8 iron,Iron,09/05/2024 00:01:53,101.9,1.1,26.1,8520,-278,8525,130.8,137.6,0.2,34.1,51.8,,,,,,,,,,,
32,8 iron,Iron,09/05/2024 00:02:17,98.6,0.5,23.1,8122,-668,8149,128.2,135.8,-4.4,28,48.1,,,,,,,,,,,
33,8 iron,Iron,09/05/2024 00:02:46,99.8,-3.4,25.8,2846,-407,2875,148.1,163.3,-18.9,30.3,45.4,,,,,,,,,,,
