Shot Number,Club,Result,Carry (yds),Total Distance (yds),Offline (yds),Carry,Total Distance,Ball Speed,Launch Angle,Total Spin,Push/Pull,Side Spin,Back Spin,Descent Angle,Peak Height,Offline,Club Speed,Club Speed at Impact Location,Efficiency,Angle of Attack,Club Path,Face to Target,Lie,Loft,Face Impact Horizontal,Face Impact Vertical,Closure Rate,Date,Course,Round Score
2,Dr,Rough,194.5,206.3,18.7 R,194.5                                yds,206.3                                yds,127.5                                mph,21.3°,4124                                rpm,"0.3°
                                    L",829                                    R rpm,4040                                rpm,55.9°,41.3                                yds,18.7                                    R yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
3,SW,Fairway,49.2,85.9,4.2 L,49.2                                yds,85.9                                yds,85                                mph,8.4°,2649                                rpm,"1.6°
                                    R",2489                                    R rpm,906                                rpm,10°,2                                yds,4.2                                    L yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
4,LW,First Cut,21.1,25.5,1 R,21.1                                yds,25.5                                yds,35.8                                mph,27.8°,3514                                rpm,"2.7°
                                    R",1339                                    L rpm,3249                                rpm,29.1°,3.1                                yds,1                                    R yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
7,LW,Green,1.6,15.2,0.4 R,1.6                                yds,15.2                                yds,15.7                                mph,9.2°,649                                rpm,"6.8°
                                    R",56                                    L rpm,647                                rpm,10.7°,0.1                                yds,0.4                                    R yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
1,Dr,Fairway,141.3,159.1,5.5 R,141.3                                yds,159.1                                yds,105.1                                mph,39°,4149                                rpm,"3.7°
                                    R",135                                    L rpm,4147                                rpm,57.7°,52.1                                yds,5.5                                    R yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
2,5i,Rough,149.9,159.6,21.1 R,149.9                                yds,159.6                                yds,129.7                                mph,17.4°,5724                                rpm,"1.3°
                                    R",1547                                    R rpm,5511                                rpm,84.3°,35.4                                yds,21.1                                    R yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
2,5i,Rough,139.6,160.7,20.6 R,139.6                                yds,160.7                                yds,125.3                                mph,19°,7949                                rpm,"6.8°
                                    R",2400                                    R rpm,7578                                rpm,88.9°,37.1                                yds,20.6                                    R yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
3,LW,Rough,57.6,83.1,8.1 R,57.6                                yds,83.1                                yds,60.4                                mph,20°,4400                                rpm,"2.4°
                                    L",456                                    L rpm,4376                                rpm,28.2°,6.1                                yds,8.1                                    R yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
4,LW,Green,21.9,33,0.9 L,21.9                                yds,33                                yds,33.6                                mph,30.8°,4142                                rpm,"1.3°
                                    R",1336                                    L rpm,3921                                rpm,35.6°,3.4                                yds,0.9                                    L yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
1,Dr,Fairway,218.2,259.1,3.5 R,218.2                                yds,259.1                                yds,125.3                                mph,18.4°,3649                                rpm,"2.8°
                                    L",672                                    R rpm,3587                                rpm,47.1°,33.8                                yds,3.5                                    R yds,--,--,--,--,--,--,--,--,--,--,--,05/14/25,Awbrey Glen Golf Course,82.4
