HOLE 1,,,,,,
(Par 5),,,,,,
5.8,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,177.5,183.3,41.8 R,No video available
2,DR,ROUGH,161.3,165.9,30.1 R,No video available
3,9I,ROUGH,101.9,105.8,19.5 L,No video available
6,LW,GREEN,43.7,43,3.5 L,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 2,,,,,,
(Par 3),,,,,,
4.2,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,6I,ROUGH,129.9,135.5,8.8 L,No video available
5,LW,GREEN,50.3,50.2,5.7 L,No video available
AUTO PUTT STROKES: 2,,,,,,
HOLE 3,,,,,,
(Par 5),,,,,,
6,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,202.5,209.5,27.6 L,No video available
2,DR,ROUGH,145.1,175.6,3.9 L,No video available
3,LW,ROUGH,62.3,64.3,6.5 L,No video available
4,LW,ROUGH,21.5,22.6,3.6 L,No video available
7,LW,GREEN,6,7,0.5 R,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 4,,,,,,
(Par 4),,,,,,
4.9,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,FAIRWAY,222.9,254.8,7.5 L,No video available
2,PW,ROUGH,83.6,87.4,0.6 R,No video available
5,LW,GREEN,9.7,15.7,2.6 L,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 5,,,,,,
(Par 4),,,,,,
4.8,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,3W,FAIRWAY,167,185.5,11.1 L,No video available
2,8I,ROUGH,117.1,122.3,10.6 L,No video available
5,LW,GREEN,29.2,29.4,0.7 R,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 6,,,,,,
(Par 4),,,,,,
5.7,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,163.9,167.5,48.4 R,No video available
2,9I,ROUGH,40.2,65.5,9 L,No video available
3,LW,BUNKER,65.3,66.7,12 L,No video available
4,LW,ROUGH,23.4,26.1,0.1 R,No video available
6,LW,GREEN,15.7,17.5,3.4 L,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 7,,,,,,
(Par 3),,,,,,
3.4,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,6I,FIRST CUT,150.1,163.6,2.7 R,No video available
4,LW,GREEN,23,24.5,2.2 L,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 8,,,,,,
(Par 4),,,,,,
5.2,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,176.4,179.5,34.2 R,No video available
2,4H,ROUGH,142.9,145.9,10.7 R,No video available
3,PW,FIRST CUT,83.1,85.5,4.3 R,No video available
6,LW,GREEN,5.6,7,1.5 L,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 9,,,,,,
(Par 4),,,,,,
5.4,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,173.9,190.1,30.8 R,No video available
2,4H,ROUGH,56.2,65.1,29.2 L,No video available
3,6I,BUNKER,169.7,173.6,11.7 L,No video available
4,LW,ROUGH,26.2,27.6,1.4 L,No video available
6,LW,GREEN,8.7,17.9,0.6 L,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 10,,,,,,
(Par 4),,,,,,
4.2,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,173.6,178.1,48.5 R,No video available
2,4H,FIRST CUT,186.7,190.9,17.8 L,No video available
5,LW,GREEN,18.2,20.8,1.9 R,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 11,,,,,,
(Par 4),,,,,,
5.7,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,170.4,182.9,28.2 R,No video available
2,4H,ROUGH,158.1,161.8,15 R,No video available
3,PW,ROUGH,88.5,91.8,16.5 L,No video available
6,LW,GREEN,10.4,14.7,0.1 R,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 12,,,,,,
(Par 4),,,,,,
3.7,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,197.1,212.4,15.7 R,No video available
2,5H,ROUGH,80.8,111.9,20.4 L,No video available
4,6I,GREEN,162.7,164.6,3.9 R,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 13,,,,,,
(Par 4),,,,,,
4.3,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,FAIRWAY,184.6,209.5,11.9 R,No video available
2,5H,FAIRWAY,153,164.8,7.8 L,No video available
5,LW,GREEN,12.8,14.3,1 L,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 14,,,,,,
(Par 5),,,,,,
5.5,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,ROUGH,192.5,205.6,12.7 R,No video available
2,DR,ROUGH,197.4,202.7,36.9 R,No video available
3,PW,FIRST CUT,85.9,99.2,6.3 L,No video available
6,LW,GREEN,5.5,6.3,0.9 R,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 15,,,,,,
(Par 3),,,,,,
4.8,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,4H,ROUGH,182.9,200.4,46.1 L,No video available
2,LW,ROUGH,24,25.5,2.5 R,No video available
3,4H,UNDEFINED,127.8,129.2,25.1 L,No video available
5,LW,GREEN,18.8,25.9,4.5 L,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 16,,,,,,
(Par 5),,,,,,
4.8,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,FAIRWAY,219.1,240.5,10.8 L,No video available
2,3W,ROUGH,215.4,222,23.3 L,No video available
5,LW,GREEN,31.5,32.6,4.2 R,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 17,,,,,,
(Par 3),,,,,,
3.5,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,6I,FIRST CUT,120.8,135.8,0.5 L,No video available
2,LW,BUNKER,19.2,20.2,0.6 L,No video available
4,LW,GREEN,34.5,35.2,1.3 R,No video available
AUTO PUTT STROKES: 1,,,,,,
HOLE 18,,,,,,
(Par 4),,,,,,
4.9,,,,,,
SCORE,,,,,,
SHOT,CLUB,RESULT,CARRY (YDS),TOTAL DISTANCE (YDS),OFFLINE (YDS),VIDEO
1,DR,FAIRWAY,175.2,192.2,17.2 L,No video available
2,4H,ROUGH,141.3,147.8,2.4 L,No video available
3,LW,ROUGH,100.4,104.1,1 R,No video available
4,4H,UNDEFINED,192.2,192.9,0.9 R,No video available
5,PW,ROUGH,87.5,0,7.6 L,No video available
AUTO PUTT STROKES: 1,,,,,,
