Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,pitching wedge,Wedge,09/28/2024 07:06:56,76.4,5.3,33.9,2969,-696,3049,97.6,107.2,2.6,23.6,47.8,,,,,,,,,,,
2,pitching wedge,Wedge,09/28/2024 07:07:39,87.9,2.7,33.8,3089,-254,3099,119.7,134.5,2.3,32,50.7,,,,,,,,,,,
3,pitching wedge,Wedge,09/28/2024 07:07:39,75.2,8.1,32.4,6538,394,6550,89.5,97.6,16,22.3,48.8,,,,,,,,,,,
4,pitching wedge,Wedge,09/28/2024 07:07:41,83.5,5.1,26.2,9599,104,9600,101.9,102.6,9.6,22.4,47.1,,,,,,,,,,,
5,pitching wedge,Wedge,09/28/2024 07:08:03,85.9,3,33.1,2809,-481,2850,117.5,133,-1,29.5,49.2,,,,,,,,,,,
6,pitching wedge,Wedge,09/28/2024 07:08:47,84.9,2,30.4,3021,-149,3025,115.8,131.4,2.2,26,46.5,,,,,,,,,,,
7,pitching wedge,Wedge,09/28/2024 07:08:47,86.6,2.4,33.5,2337,-243,2350,121.9,138.8,1,30.4,48.8,,,,,,,,,,,
8,pitching wedge,Wedge,09/28/2024 07:09:30,87,7.6,35.5,3074,-33,3074,116.9,131.3,16.8,33.2,52,,,,,,,,,,,
9,9 iron,Iron,09/28/2024 07:11:19,94.1,-0.1,28.5,3166,-614,3225,133.8,150,-11.6,30,47.2,,,,,,,,,,,
10,9 iron,Iron,09/28/2024 07:12:02,87.7,6.2,30.8,2920,-159,2924,121.9,127.7,11.5,28.4,47.5,,,,,,,,,,,
11,9 iron,Iron,09/28/2024 07:12:03,88.1,1.2,24.5,4539,-1115,4674,116.4,125.1,-8.9,21.8,43,,,,,,,,,,,
12,9 iron,Iron,09/28/2024 07:12:33,89.9,-0.5,17.9,6442,316,6450,114.2,121.7,1.4,16.2,37.1,,,,,,,,,,,
13,9 iron,Iron,09/28/2024 07:13:10,84.6,4.4,31.2,2891,-221,2899,115.7,124.8,6.5,26.7,47.1,,,,,,,,,,,
14,9 iron,Iron,09/28/2024 07:13:40,92.6,4,31,3749,40,3749,127.3,132.7,9.8,32.5,50.2,,,,,,,,,,,
15,9 iron,Iron,09/28/2024 07:13:42,90.2,5,24.6,9519,311,9524,113,113.8,11.5,24.8,47.7,,,,,,,,,,,
16,9 iron,Iron,09/28/2024 07:14:04,89.1,2.5,28.9,3356,-350,3374,123.1,130.9,0.9,27.3,46.7,,,,,,,,,,,
17,9 iron,Iron,09/28/2024 07:14:26,91.7,3.2,32.2,3345,-182,3350,126.8,131.7,4.8,33.1,50.5,,,,,,,,,,,
18,9 iron,Iron,09/28/2024 07:14:49,93.8,2.2,30.4,3170,-437,3200,132.6,148.4,-2.4,32.3,49.1,,,,,,,,,,,
19,9 iron,Iron,09/28/2024 07:15:31,93.7,4.9,33.1,2591,-213,2600,134.7,151.5,8.3,35.6,50.6,,,,,,,,,,,
20,9 iron,Iron,09/28/2024 07:15:32,91.7,4.3,31.8,3549,-58,3549,126,131.9,9.1,32.6,50.4,,,,,,,,,,,
