Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,pitching wedge,Wedge,09/20/2024 04:13:55,81,-0.7,16.9,5674,-30,5674,95.6,109.2,-1.6,11,30.4,,,,,,,,,,,
2,pitching wedge,Wedge,09/20/2024 04:15:29,84.8,-0.3,26.2,5194,-919,5275,110.6,121,-8.6,22,44,,,,,,,,,,,
3,pitching wedge,Wedge,09/20/2024 04:16:08,81.3,4.4,28.1,5406,-683,5449,103.7,109.3,3.5,21.9,45.2,,,,,,,,,,,
4,pitching wedge,Wedge,09/20/2024 04:16:31,79,8.4,35.1,3048,100,3050,103.4,115.5,18.1,26.7,49.3,,,,,,,,,,,
5,pitching wedge,Wedge,09/20/2024 04:16:57,83.8,1.3,24.8,8025,0,8025,105.5,107.6,2.4,20.7,44.2,,,,,,,,,,,
6,pitching wedge,Wedge,09/20/2024 04:17:21,82.1,8.1,34.7,2787,260,2799,110.8,123.8,21.1,28.5,49.3,,,,,,,,,,,
7,pitching wedge,Wedge,09/20/2024 04:18:03,74.6,10.9,33.1,3717,491,3749,93.4,103.9,23.6,22,46.9,,,,,,,,,,,
8,pitching wedge,Wedge,09/20/2024 04:18:41,88.7,2.6,27,8398,-137,8399,113,119.3,4.5,26.1,48.3,,,,,,,,,,,
9,pitching wedge,Wedge,09/20/2024 04:19:04,85.1,1.4,34.7,2943,-192,2949,116,128.5,0.4,30.8,50.3,,,,,,,,,,,
10,pitching wedge,Wedge,09/20/2024 04:19:48,80.1,-1.1,23.5,8840,-1029,8900,97.6,99.1,-6,17.5,41.7,,,,,,,,,,,
11,pitching wedge,Wedge,09/20/2024 04:20:16,80.6,3.9,37.6,2766,212,2774,105.9,111.2,9.9,30.2,51.6,,,,,,,,,,,
12,pitching wedge,Wedge,09/20/2024 04:20:58,87.6,2.2,32.9,2980,-343,3000,121.8,134.3,-0.1,30.7,49.2,,,,,,,,,,,
13,pitching wedge,Wedge,09/20/2024 04:20:59,82.3,1.8,31.3,3729,-389,3749,109,114,-0.3,25.4,47.2,,,,,,,,,,,
14,pitching wedge,Wedge,09/20/2024 04:21:44,80.9,1.7,29.2,4070,-492,4100,105.5,110.9,-1,22.4,45,,,,,,,,,,,
15,pitching wedge,Wedge,09/20/2024 04:22:27,83.5,5.6,29.3,9354,616,9374,102.5,103.2,12.8,25.2,49.5,,,,,,,,,,,
16,pitching wedge,Wedge,09/20/2024 04:22:48,84.9,-0.4,35,2525,0,2525,117.6,130.7,-1,30.9,49.8,,,,,,,,,,,
17,pitching wedge,Wedge,09/20/2024 04:25:18,85.8,1.7,35.1,3149,-398,3174,115.9,120.6,-1.3,31.7,51,,,,,,,,,,,
18,pitching wedge,Wedge,09/20/2024 04:26:01,83.9,3.3,35.4,2567,-196,2574,115.2,120.6,4.2,30.6,50.1,,,,,,,,,,,
19,pitching wedge,Wedge,09/20/2024 04:26:22,83.5,-3,30.6,3763,-923,3875,110.8,115.4,-14.9,25.2,46.9,,,,,,,,,,,
20,pitching wedge,Wedge,09/20/2024 04:27:05,84.4,4,36.7,2276,326,2299,116.8,130,14.8,32.2,50.9,,,,,,,,,,,
21,pitching wedge,Wedge,09/20/2024 04:27:26,89.5,0,27.1,8296,-226,8299,114.3,115.8,-1.4,26.6,48.5,,,,,,,,,,,
22,pitching wedge,Wedge,09/20/2024 04:28:11,89.6,-0.7,23.9,9158,-553,9175,114.3,115.4,-4.3,23.4,45.9,,,,,,,,,,,
23,pitching wedge,Wedge,09/20/2024 04:28:33,75.7,8,37.5,3299,-71,3300,94.8,105.3,13.9,26.5,51,,,,,,,,,,,
24,pitching wedge,Wedge,09/20/2024 04:29:37,69.8,3.2,26.1,6545,617,6574,80.6,89.2,7.5,14.2,39.7,,,,,,,,,,,
25,pitching wedge,Wedge,09/20/2024 04:32:51,88.9,-2,30,3255,-891,3375,123.4,135.5,-17.5,28,47,,,,,,,,,,,
