Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,pitching wedge,Wedge,09/26/2024 13:03:54,78.5,11.1,38.3,2294,162,2300,102.7,118.2,25.2,29.3,51.5,,,,,,,,,,,
2,pitching wedge,Wedge,09/26/2024 13:04:16,78.3,6,35.2,2996,-415,3025,100.9,107.5,6.9,26.2,49.5,,,,,,,,,,,
3,pitching wedge,Wedge,09/26/2024 13:05:01,86.1,3.5,33.6,2584,-283,2599,119.3,135.4,3.2,30.3,49.3,,,,,,,,,,,
4,pitching wedge,Wedge,09/26/2024 13:05:01,81.5,7.5,35,4268,-233,4274,102.9,106.6,11.9,28.6,51.4,,,,,,,,,,,
5,pitching wedge,Wedge,09/26/2024 13:05:38,82.4,4.1,33.9,3195,-175,3200,108.9,114.8,6.3,28.1,49.6,,,,,,,,,,,
6,pitching wedge,Wedge,09/26/2024 13:06:11,77.3,-1,31.9,2098,-466,2149,103.3,114.7,-8.7,22.1,44.3,,,,,,,,,,,
7,pitching wedge,Wedge,09/26/2024 13:06:54,88.4,1.3,31.8,2937,-470,2974,122.6,138,-4.8,29.9,48.6,,,,,,,,,,,
8,pitching wedge,Wedge,09/26/2024 13:07:15,83.1,5.6,33.8,3578,-394,3600,108.7,115.2,7,28.5,50.1,,,,,,,,,,,
9,pitching wedge,Wedge,09/26/2024 13:07:58,83.3,3.2,34.6,3755,-725,3824,107.6,113.4,-1.1,29.3,51.1,,,,,,,,,,,
10,pitching wedge,Wedge,09/26/2024 13:09:19,84.1,4.5,31.4,6295,-833,6350,105.1,108.2,2.9,27.2,50.3,,,,,,,,,,,
11,pitching wedge,Wedge,09/26/2024 13:09:19,81.4,5.3,31.8,5948,129,5949,101.2,110.8,11.2,25.7,49.7,,,,,,,,,,,
12,pitching wedge,Wedge,09/26/2024 13:09:53,87,1.4,32.7,3452,-572,3499,117,121.9,-3.9,30,49.9,,,,,,,,,,,
13,pitching wedge,Wedge,09/26/2024 13:10:00,81.7,2.3,29.7,5783,-1286,5924,102.2,106.3,-4.2,23.6,47.6,,,,,,,,,,,
14,pitching wedge,Wedge,09/26/2024 13:10:23,87.4,4.7,32.6,4150,-455,4175,115.2,119.5,5.1,30.4,50.7,,,,,,,,,,,
15,pitching wedge,Wedge,09/26/2024 13:10:55,84.7,6.6,34.3,3724,40,3724,110.8,114.9,13.6,30.3,51.1,,,,,,,,,,,
16,pitching wedge,Wedge,09/26/2024 13:11:33,75.1,1.5,27.8,4985,-1076,5100,91.4,103,-4.6,17.9,42.9,,,,,,,,,,,
17,pitching wedge,Wedge,09/26/2024 13:11:55,84.2,4.5,31.2,5057,-416,5074,107.8,113.2,5.5,26.9,49.3,,,,,,,,,,,
18,pitching wedge,Wedge,09/26/2024 13:12:17,88.3,2.2,18.3,7399,40,7399,110.8,115.4,4.7,16.3,37.8,,,,,,,,,,,
19,pitching wedge,Wedge,09/26/2024 13:13:00,83.2,5.2,33,4622,-151,4624,106.3,112.1,8.8,28,50.4,,,,,,,,,,,
20,9 iron,Iron,09/26/2024 13:14:48,92.7,5.1,33.2,3655,-381,3675,126.1,132.6,6.4,35.1,52,,,,,,,,,,,
21,9 iron,Iron,09/26/2024 13:15:31,90.2,5,29,7683,-506,7700,113.9,121.5,6.8,29.1,50.6,,,,,,,,,,,
22,9 iron,Iron,09/26/2024 13:15:52,93.2,5.2,30.2,5691,-312,5700,121.9,126.1,8.6,32.2,51.2,,,,,,,,,,,
23,9 iron,Iron,09/26/2024 13:15:56,88.1,8.1,32,6411,704,6450,110.9,119.9,22.5,30.7,52,,,,,,,,,,,
24,9 iron,Iron,09/26/2024 13:16:40,92.3,3.1,26.9,6584,-1239,6700,119.9,129.3,-3.9,27.8,48.7,,,,,,,,,,,
25,9 iron,Iron,09/26/2024 13:17:04,100.9,2.7,15.8,5947,162,5949,135.1,140.2,8.1,18.8,37.9,,,,,,,,,,,
26,9 iron,Iron,09/26/2024 13:19:54,95.3,1.3,22,7499,-81,7499,124.7,127.8,2.2,24.4,45.3,,,,,,,,,,,
27,9 iron,Iron,09/26/2024 13:19:54,88.5,4.8,27.5,7041,345,7049,113,122,12.9,26.4,48.4,,,,,,,,,,,
28,9 iron,Iron,09/26/2024 13:19:55,93.6,3,27.9,5770,-220,5774,123.8,128.6,4.6,29.9,49.4,,,,,,,,,,,
29,9 iron,Iron,09/26/2024 13:19:55,86.4,5.6,26.3,6737,-406,6749,110.2,119.8,8.7,23.6,46.4,,,,,,,,,,,
30,9 iron,Iron,09/26/2024 13:19:56,88.2,3,22.6,7231,-997,7299,112.4,122.1,-0.8,20.8,43.3,,,,,,,,,,,
31,9 iron,Iron,09/26/2024 13:19:56,89.9,2.6,25.5,6924,75,6924,116,125.9,6.2,25,46.8,,,,,,,,,,,
32,9 iron,Iron,09/26/2024 13:19:56,90.3,4.3,26.8,7413,-732,7449,115.4,124.8,3.7,26.7,48.5,,,,,,,,,,,
33,9 iron,Iron,09/26/2024 13:20:18,95.1,2.4,27.4,7033,-1284,7149,123.2,125.4,-4.7,30.4,50.2,,,,,,,,,,,
34,9 iron,Iron,09/26/2024 13:21:01,88.3,3.6,26.1,6627,545,6649,113.7,123.1,12,24.6,46.7,,,,,,,,,,,
35,8 Iron,Iron,09/26/2024 13:21:44,98,5.8,26.8,6874,-37,6874,128.9,136.7,13.4,31.8,50.3,,,,,,,,,,,
36,8 Iron,Iron,09/26/2024 13:22:06,101.1,2.1,23.5,7998,-174,8000,133.1,134.9,3.6,30.1,48.9,,,,,,,,,,,
37,8 Iron,Iron,09/26/2024 13:24:38,103.8,-0.6,12.3,5130,-450,5150,137.6,148.7,-7.1,14.9,32,,,,,,,,,,,
38,8 Iron,Iron,09/26/2024 13:24:38,100.2,1.9,24,7940,-392,7950,131.5,139.9,1.1,30.1,49.1,,,,,,,,,,,
39,8 Iron,Iron,09/26/2024 13:25:00,98.1,5,26,7645,-250,7649,127.9,136.2,9.7,31.1,50.1,,,,,,,,,,,
40,8 Iron,Iron,09/26/2024 13:25:23,98.7,0.8,25,6516,-1048,6600,131.4,141.6,-9,29.9,48.7,,,,,,,,,,,
41,8 Iron,Iron,09/26/2024 13:26:05,100.2,4.3,19.7,7541,1123,7624,132.5,142.2,21,24.2,44.4,,,,,,,,,,,
42,8 Iron,Iron,09/26/2024 13:26:06,108.8,3.6,11.5,4901,484,4925,147.3,165.3,17.6,15.7,32.2,,,,,,,,,,,
43,8 Iron,Iron,09/26/2024 13:26:48,99,4.4,23.1,8243,723,8275,129.4,137.5,16.7,28.2,48.1,,,,,,,,,,,
44,8 Iron,Iron,09/26/2024 13:26:49,101.3,2.2,17.6,7869,691,7899,133.6,136.8,10.9,22.2,42.4,,,,,,,,,,,
45,8 Iron,Iron,09/26/2024 13:27:10,99.1,1.4,24.4,7472,-1238,7574,130.1,138.9,-8,29.6,48.9,,,,,,,,,,,
