Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Driver,Driver,07/29/2024 06:29:19,129.4,-2,17.3,2860,719,2949,213.3,231.5,22.7,33.8,44.7,,,,,,,,,,,
1,Wedge,Wedge,07/29/2024 06:40:20,68.3,-0.6,45.1,6001,-527,6024,71.9,72.3,-2.3,26.7,58.4,,,,,,,,,,,
1,Wedge,Wedge,07/29/2024 06:40:20,67.4,4.9,46.8,4599,-25,4599,71.4,68.9,10.9,27.1,59.2,,,,,,,,,,,
1,Driver,Driver,07/29/2024 06:51:24,133.2,0.3,17.9,3056,858,3174,210.7,225.9,29.7,37.6,44.4,,,,,,,,,,,
1,Wedge,Wedge,07/29/2024 06:51:25,98.9,-6.8,10.6,3478,383,3499,122,124.4,-11,9.6,22.8,,,,,,,,,,,
1,Driver,Driver,07/29/2024 06:56:25,133.3,1.3,17.4,2423,80,2424,225.8,250.2,4.5,36,42.3,,,,,,,,,,,
1,Driver,Driver,07/29/2024 06:56:49,129.6,2.1,20.6,3002,769,3099,207.4,212.2,34.2,41.4,47.6,,,,,,,,,,,
1,Driver,Driver,07/29/2024 06:58:14,134.4,-2.9,12.2,3360,517,3400,217.8,241.9,6.7,27.1,41.6,,,,,,,,,,,
1,Driver,Driver,07/29/2024 07:01:29,132.6,-1.1,18.6,2549,55,2550,222.7,240.8,1.5,38.6,44.2,,,,,,,,,,,
1,Driver,Driver,07/29/2024 07:05:29,134.4,2.1,19,3788,1431,4049,212,216.2,49.4,40.9,51.1,,,,,,,,,,,
