Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,LW,Wedge,08/06/2024 18:00:02,51.4,2.5,39.8,6182,-917,6250,49.2,49,0.8,13.2,49.3,,,,,,,,,,,
2,LW,Wedge,08/06/2024 18:00:52,51.4,4.9,35.3,6800,1008,6874,49.4,51.7,6.2,11.1,44.7,,,,,,,,,,,
3,LW,Wedge,08/06/2024 18:01:03,53.7,-2.7,44.2,2792,-429,2825,52.8,54.4,-4,16,52.2,,,,,,,,,,,
4,LW,Wedge,08/06/2024 18:01:22,55.9,-0.6,43.2,4821,-184,4825,55.4,55.8,-1,17.3,52.9,,,,,,,,,,,
5,LW,Wedge,08/06/2024 18:01:38,58.2,1.8,46.2,3587,-294,3599,58.1,59.1,0.9,20.2,55.5,,,,,,,,,,,
6,LW,Wedge,08/06/2024 18:01:56,60.4,-2.2,39.7,6154,-1224,6275,61.4,61.3,-5.6,17.6,51.3,,,,,,,,,,,
7,LW,Wedge,08/06/2024 18:02:17,58.2,0.9,46.4,2999,65,3000,57.1,58.5,1.2,19.5,55.1,,,,,,,,,,,
8,LW,Wedge,08/06/2024 18:02:32,62.6,0.8,40,7463,-407,7474,63.4,63,0.1,19.2,52.7,,,,,,,,,,,
9,LW,Wedge,08/06/2024 18:02:48,58.2,-0.6,45.6,4013,-307,4025,55.9,56.6,-1.5,19,54.9,,,,,,,,,,,
10,LW,Wedge,08/06/2024 18:03:11,51.4,7.5,50.7,2449,-26,2449,45.3,52.6,6.8,17,57.5,,,,,,,,,,,
11,LW,Wedge,08/06/2024 18:03:26,62.6,-2.4,46.6,3348,109,3350,63.8,66.2,-2.3,23.1,56.5,,,,,,,,,,,
12,LW,Wedge,08/06/2024 18:03:45,62.6,-2,44,3869,-489,3900,66.1,67.7,-4.3,22.1,54.9,,,,,,,,,,,
13,LW,Wedge,08/06/2024 18:04:04,55.9,-0.9,39.9,3866,-253,3874,54.8,55.8,-1.5,14.6,49,,,,,,,,,,,
14,LW,Wedge,08/06/2024 18:04:24,58.2,5.8,49.1,3620,177,3624,55.1,55.8,6.3,21.4,58,,,,,,,,,,,
15,LW,Wedge,08/06/2024 18:04:41,58.2,6.2,50.9,2098,334,2124,55.4,57.8,7.7,21.9,58.4,,,,,,,,,,,
16,SW,Wedge,08/06/2024 18:05:38,62.6,6.1,45.1,4242,703,4300,64.6,71.3,10.5,22.6,55.9,,,,,,,,,,,
17,SW,Wedge,08/06/2024 18:05:54,69.3,-3.3,42.2,3607,-928,3724,76.6,78.2,-10.2,24.8,54.3,,,,,,,,,,,
18,SW,Wedge,08/06/2024 18:06:10,73.8,0.5,37.2,6982,-498,7000,84.6,84.1,-1.4,25.7,53,,,,,,,,,,,
19,SW,Wedge,08/06/2024 18:06:34,69.3,2.7,39.9,6424,70,6424,74,73.9,3.8,23.5,53.7,,,,,,,,,,,
20,SW,Wedge,08/06/2024 18:06:53,67.1,2.9,44.3,316,-538,624,82.6,89.5,-3.7,23,50,,,,,,,,,,,
21,SW,Wedge,08/06/2024 18:07:14,67.1,6.4,31.6,9799,-1405,9899,71.7,67.1,4.9,16.7,47.1,,,,,,,,,,,
22,SW,Wedge,08/06/2024 18:07:30,64.9,-0.7,41.1,3423,-840,3525,71.2,73.4,-5.4,21.4,52,,,,,,,,,,,
23,SW,Wedge,08/06/2024 18:07:48,69.3,5,42.8,3114,256,3125,78.7,82.3,9,26,54.3,,,,,,,,,,,
24,SW,Wedge,08/06/2024 18:08:04,60.4,9,42.4,7081,505,7099,61.1,66,12,19.9,54.4,,,,,,,,,,,
25,SW,Wedge,08/06/2024 18:08:24,67.1,7.1,47.4,2799,-44,2799,70.1,71.9,8.8,26.6,57.5,,,,,,,,,,,
26,GW,Wedge,08/06/2024 18:11:21,76.1,3.1,39.7,3472,132,3475,92.1,94.2,6.4,28.9,53.8,,,,,,,,,,,
27,GW,Wedge,08/06/2024 18:11:43,76.1,1,36.8,5424,-1048,5524,87.5,88,-3.9,25.5,52.4,,,,,,,,,,,
28,GW,Wedge,08/06/2024 18:13:41,76.1,1.8,41.7,3562,293,3574,87.4,89.2,4.9,29.3,55.2,,,,,,,,,,,
29,GW,Wedge,08/06/2024 18:14:06,80.5,2.4,36.6,4177,435,4200,98.6,100.3,8,29.1,52.4,,,,,,,,,,,
30,GW,Wedge,08/06/2024 18:14:23,69.3,-1.1,38.8,2542,-194,2549,81.2,86.5,-3.3,22.4,50,,,,,,,,,,,
31,GW,Wedge,08/06/2024 18:14:52,67.1,3.5,42.8,1858,392,1899,79.4,85.3,9.2,24.4,52.6,,,,,,,,,,,
32,GW,Wedge,08/06/2024 18:15:06,82.8,-3.7,18.7,7634,1180,7725,96.4,96.8,-1.1,13.5,35.7,,,,,,,,,,,
33,GW,Wedge,08/06/2024 18:15:23,71.6,0.5,34.5,8393,-320,8399,80.6,79.5,0.5,22,50.8,,,,,,,,,,,
34,GW,Wedge,08/06/2024 18:15:38,73.8,0.6,29.9,6546,-214,6549,85.3,85.8,0,18.7,45.7,,,,,,,,,,,
