Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,gap wdge,Wedge,10/02/2024 05:03:07,56.7,0,26.7,3470,-1988,3999,55.2,67.3,-6.7,8.5,34.5,,,,,,,,,,,
2,gap wdge,Wedge,10/02/2024 05:03:35,62.6,7.2,34.8,4849,-26,4849,68.7,73.4,9.2,16.3,46.5,,,,,,,,,,,
3,gap wdge,Wedge,10/02/2024 05:04:01,63.7,3.4,32.9,4985,-630,5025,70.6,75.6,2,15.6,44.9,,,,,,,,,,,
4,gap wdge,Wedge,10/02/2024 05:04:25,66.8,1.8,30.2,4761,-1352,4949,75.9,82.1,-3.6,15.3,42.8,,,,,,,,,,,
5,gap wdge,Wedge,10/02/2024 05:04:48,57,9.4,38.5,3362,294,3375,59.6,69.3,12.5,15.2,47.8,,,,,,,,,,,
6,gap wdge,Wedge,10/02/2024 05:05:12,66,4.4,31.4,5337,-630,5374,74.5,79.3,3.4,16,44.3,,,,,,,,,,,
7,gap wdge,Wedge,10/02/2024 05:05:34,66.8,5.6,33.6,4939,-325,4950,76.2,81.1,6.4,17.8,46.6,,,,,,,,,,,
8,gap wdge,Wedge,10/02/2024 05:06:02,66.3,1.8,27.4,4603,-814,4674,74.7,83.2,-1.3,13.2,39.3,,,,,,,,,,,
9,gap wdge,Wedge,10/02/2024 05:06:05,64.3,6,36.6,3699,-60,3699,72.7,79.2,8,18.3,48,,,,,,,,,,,
10,gap wdge,Wedge,10/02/2024 05:06:29,62.7,5.4,32.2,6149,33,6149,68.2,71.3,6.8,14.8,44.5,,,,,,,,,,,
11,gap wdge,Wedge,10/02/2024 05:06:54,63.7,1.7,34.7,2432,-456,2474,73.8,84.3,-0.9,16.5,44.6,,,,,,,,,,,
12,gap wdge,Wedge,10/02/2024 05:07:17,65.3,5.3,39.4,2299,-37,2299,76.4,82.9,7.4,20.7,49.6,,,,,,,,,,,
13,gap wdge,Wedge,10/02/2024 05:07:43,65.9,0.2,36.5,2567,-409,2599,77.6,84.5,-2.6,19.1,47.2,,,,,,,,,,,
14,gap wdge,Wedge,10/02/2024 05:08:07,68.2,3.5,30.3,7343,-685,7375,77.2,79.1,2.7,16.6,44.9,,,,,,,,,,,
15,pitching wedge,Wedge,10/02/2024 05:09:47,71.8,2.4,39,2697,-388,2725,87.3,100.4,0.3,24.9,51.3,,,,,,,,,,,
16,pitching wedge,Wedge,10/02/2024 05:10:12,81.2,-1.1,30.6,3307,-529,3349,106.8,116,-8.2,23.9,46.2,,,,,,,,,,,
17,pitching wedge,Wedge,10/02/2024 05:10:35,77.9,2.7,25.9,7494,-913,7549,93.9,102.4,0,18.4,43.6,,,,,,,,,,,
18,pitching wedge,Wedge,10/02/2024 05:11:00,82.1,8.5,38.1,3022,132,3025,105.5,119.4,19.4,32,53.2,,,,,,,,,,,
19,pitching wedge,Wedge,10/02/2024 05:11:27,78,7.7,37.9,2324,63,2325,101.6,114.4,16.2,28.6,51.2,,,,,,,,,,,
20,pitching wedge,Wedge,10/02/2024 05:11:30,79,1.3,32.7,2669,-403,2699,104.4,113.5,-2.5,24.3,46.8,,,,,,,,,,,
21,pitching wedge,Wedge,10/02/2024 05:12:16,82,2.8,34.8,2523,-96,2525,110.4,118.9,4.3,28.6,49.4,,,,,,,,,,,
22,pitching wedge,Wedge,10/02/2024 05:12:19,80.9,8.1,36.4,2274,12,2274,108.7,115.1,16.4,29.3,50.2,,,,,,,,,,,
23,pitching wedge,Wedge,10/02/2024 05:13:06,81,5.3,37.3,2423,79,2424,107.2,114.7,11.7,30.3,51.4,,,,,,,,,,,
24,pitching wedge,Wedge,10/02/2024 05:13:59,73.6,-1.6,31.5,3008,-634,3074,92.1,105.2,-9.1,19.8,44.6,,,,,,,,,,,
25,pitching wedge,Wedge,10/02/2024 05:14:23,79.9,6.4,35.6,2350,0,2350,106.6,113.8,12.7,27.8,49.4,,,,,,,,,,,
26,pitching wedge,Wedge,10/02/2024 05:14:50,80.6,0.7,34.9,4422,144,4424,100.7,112.3,2.7,27.9,51.4,,,,,,,,,,,
27,pitching wedge,Wedge,10/02/2024 05:14:50,82.9,4.7,35.1,2517,-192,2524,112,118.2,7,29.5,49.9,,,,,,,,,,,
28,pitching wedge,Wedge,10/02/2024 05:15:38,77.4,3.5,33.8,3074,50,3074,99.5,114.4,7.5,24.5,48.2,,,,,,,,,,,
29,pitching wedge,Wedge,10/02/2024 05:16:07,77.4,2.2,35.7,2847,-108,2849,99.4,114.2,3,26.2,49.7,,,,,,,,,,,
30,7 iron,Iron,10/02/2024 05:16:55,99.2,4.3,23.7,4964,327,4975,137,149.2,15.6,28.2,46.4,,,,,,,,,,,
31,7 iron,Iron,10/02/2024 05:17:19,94.4,2.5,22,2436,-254,2449,137.3,160,1.1,21.4,38,,,,,,,,,,,
32,7 iron,Iron,10/02/2024 05:17:44,102.2,2.2,23.1,4866,-293,4875,142.9,149.5,1.6,29.3,46.5,,,,,,,,,,,
33,7 iron,Iron,10/02/2024 05:18:08,104.3,1.5,20.2,6691,-330,6699,141.1,152.6,0.2,27.3,45.8,,,,,,,,,,,
34,7 iron,Iron,10/02/2024 05:18:33,101.1,-1.6,21.2,4380,-628,4425,142.1,156.9,-14.2,25.5,43.3,,,,,,,,,,,
35,7 iron,Iron,10/02/2024 05:18:58,101.4,1.3,20.7,5530,-699,5574,138.8,152.4,-5.7,25.6,44.2,,,,,,,,,,,
36,7 iron,Iron,10/02/2024 05:19:23,103.4,3,22.4,6722,183,6724,139.2,149.8,9.9,29.8,47.8,,,,,,,,,,,
37,7 iron,Iron,10/02/2024 05:19:46,87.7,-0.1,21,3473,-1036,3624,115.6,133.9,-14,17.2,36.8,,,,,,,,,,,
38,7 iron,Iron,10/02/2024 05:20:12,100.6,3.1,22.5,7444,284,7449,133,142.2,10.5,28.3,47.6,,,,,,,,,,,
39,7 iron,Iron,10/02/2024 05:20:35,103.9,1.4,21.1,7256,517,7274,138.9,148.3,9.2,28.4,47.1,,,,,,,,,,,
40,7 iron,Iron,10/02/2024 05:20:37,107.1,-1,22.5,5174,-511,5199,150.3,154.6,-9.7,31.7,47.6,,,,,,,,,,,
41,7 iron,Iron,10/02/2024 05:21:28,104.4,-1.4,21.3,6449,35,6449,141.8,146,-3.3,28.8,46.8,,,,,,,,,,,
42,7 iron,Iron,10/02/2024 05:21:50,102.6,-0.7,21.1,7498,122,7499,136.5,145,-0.5,27.7,46.9,,,,,,,,,,,
