Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Wedge,Wedge,03/17/2025 21:30:05,81.7,5.7,39.9,6399,-69,6399,93.5,95.2,9,33.3,56.6,,,,,,,,,,,
2,Wedge,Wedge,03/17/2025 21:30:28,78.1,5.2,35.3,7219,-1237,7324,91.4,92.6,2.7,26.7,52.7,,,,,,,,,,,
3,Wedge,Wedge,03/17/2025 21:30:52,73,7.5,34.3,8387,-460,8400,83.2,88.8,9.7,22.6,50.9,,,,,,,,,,,
4,pitching wedge,Wedge,03/17/2025 21:31:37,81.7,5.1,32.3,7024,-38,7024,99.5,101.5,8.9,26.6,50.9,,,,,,,,,,,
5,pitching wedge,Wedge,03/17/2025 21:31:55,77,5,29.2,7770,-254,7774,92.2,93.8,7.1,20.9,46.9,,,,,,,,,,,
6,pitching wedge,Wedge,03/17/2025 21:32:13,79.5,5.9,34.1,6250,0,6250,95.9,98.3,10.2,26.6,51.5,,,,,,,,,,,
7,pitching wedge,Wedge,03/17/2025 21:32:33,83.4,5.3,34.3,6799,-74,6799,100.9,102.7,9,29.6,52.9,,,,,,,,,,,
8,pitching wedge,Wedge,03/17/2025 21:32:52,85.8,4,33.6,6948,151,6950,104.8,106.4,8.3,30.7,53,,,,,,,,,,,
9,pitching wedge,Wedge,03/17/2025 21:33:21,77.8,10.2,40.3,2973,98,2975,96.2,109.2,20.4,30.5,54,,,,,,,,,,,
10,pitching wedge,Wedge,03/17/2025 21:33:41,80,9.8,41,2494,163,2499,101.7,115.6,21.9,33,54.5,,,,,,,,,,,
11,9 iron,Iron,03/17/2025 21:35:00,91.1,5.5,33.3,6278,1107,6375,114.1,121.6,14.9,34.1,53.7,,,,,,,,,,,
12,9 iron,Iron,03/17/2025 21:35:19,94.2,4,30.1,7165,-1102,7249,120,122,-5.3,32.9,51.9,,,,,,,,,,,
13,9 iron,Iron,03/17/2025 21:35:44,96.9,2.3,29.8,6308,-727,6350,126.6,129.1,-7,34.5,51.8,,,,,,,,,,,
14,9 iron,Iron,03/17/2025 21:36:35,89.3,4.1,30.6,4959,-1074,5074,116.4,121.7,-1.7,29.6,50.2,,,,,,,,,,,
15,9 iron,Iron,03/17/2025 21:37:03,97,7.3,28.9,8724,670,8750,121.6,128.2,21.5,34,52.8,,,,,,,,,,,
16,9 iron,Iron,03/17/2025 21:37:23,77.5,5.3,26.9,4556,-1252,4725,95.9,108.2,0.3,18.3,42.3,,,,,,,,,,,
17,9 iron,Iron,03/17/2025 21:37:51,86.8,3.4,29.3,5683,-874,5750,111.4,121.9,-0.5,26.7,48.8,,,,,,,,,,,
18,9 iron,Iron,03/17/2025 21:38:20,85,6.4,29.1,6371,-208,6374,107.3,116.5,11.3,25.6,48.6,,,,,,,,,,,
19,9 iron,Iron,03/17/2025 21:38:40,87.3,4.6,27.3,7586,-458,7600,109.9,117.6,6.2,25.5,48.3,,,,,,,,,,,
20,5 iron,Iron,03/17/2025 21:40:33,113.3,1.7,20.5,2689,-1016,2875,174.6,194.4,-24.8,29.4,42,,,,,,,,,,,
21,5 iron,Iron,03/17/2025 21:41:19,120,2.2,18.7,3548,-608,3600,184.1,201.8,-9.3,32.5,44.2,,,,,,,,,,,
22,5 iron,Iron,03/17/2025 21:41:41,114.2,6,20.8,5269,-230,5274,163,174,14.3,33.9,47.9,,,,,,,,,,,
23,5 iron,Iron,03/17/2025 21:42:37,105.7,1.8,18.9,2374,-1750,2949,148.9,169.3,-34.4,20.3,35.7,,,,,,,,,,,
24,5 iron,Iron,03/17/2025 21:42:58,115.2,6.4,20.7,6224,-101,6225,160.6,172.2,17.6,34.9,49,,,,,,,,,,,
25,5 iron,Iron,03/17/2025 21:43:27,109.2,2.7,20.3,2492,-1037,2699,166.2,186.4,-21,26.3,39.9,,,,,,,,,,,
26,5 iron,Iron,03/17/2025 21:43:48,111.9,7.4,22.5,3948,-107,3949,166.1,181.9,20.9,34.5,47.2,,,,,,,,,,,
27,5 iron,Iron,03/17/2025 21:44:10,116.4,4.6,20.3,3315,-254,3325,179.9,198.4,8.6,33.1,44.6,,,,,,,,,,,
