Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Driver,Driver,09/23/2024 21:35:02,129.9,-0.8,16.2,2510,444,2549,214.1,225.3,14.2,31.1,39.7,,,,,,,,,,,
2,FW,FW,09/23/2024 21:35:26,133.3,0.6,16.5,1691,171,1700,233,261.4,13.3,29.8,35.5,,,,,,,,,,,
3,FW,FW,09/23/2024 21:35:52,135,-3.2,11.6,1471,-292,1500,215.5,248.6,-29.4,17.1,24,,,,,,,,,,,
4,FW,FW,09/23/2024 21:36:14,135.1,3,14.3,2299,50,2300,227.4,252.7,15.9,28.9,36.8,,,,,,,,,,,
5,FW,FW,09/23/2024 21:36:45,132.7,2.1,18.3,2152,454,2199,227,251.2,33.3,35.9,41.5,,,,,,,,,,,
6,FW,FW,09/23/2024 21:37:33,134.8,-1.3,11.1,1949,31,1949,218.5,239.1,-3.9,19.4,27.7,,,,,,,,,,,
7,FW,FW,09/23/2024 21:38:22,132.1,-1.1,11.7,3118,447,3150,206.7,221.4,10.7,24.2,35.8,,,,,,,,,,,
8,FW,FW,09/23/2024 21:38:25,134.6,6.4,18.8,3155,663,3224,216.3,235.3,51.6,41.2,46.8,,,,,,,,,,,
9,FW,FW,09/23/2024 21:38:50,131,4,17.7,3148,1068,3324,206.3,225.6,53,35.6,44.6,,,,,,,,,,,
10,FW,FW,09/23/2024 21:39:16,135.1,3.7,12.8,3422,603,3475,211.6,232,35.7,28.8,39.8,,,,,,,,,,,
11,FW,FW,09/23/2024 21:40:03,135,0.8,14.7,2756,317,2774,221.8,244.6,17,31.4,40,,,,,,,,,,,
12,FW,FW,09/23/2024 21:40:27,132.1,1.5,14.4,2628,333,2649,216.3,239.4,20.3,29,38.2,,,,,,,,,,,
13,FW,FW,09/23/2024 21:40:50,130.8,1.5,13.8,3005,652,3075,207.1,228.9,30,27.5,38.4,,,,,,,,,,,
14,FW,FW,09/23/2024 21:40:52,132.7,2.6,15.7,2641,558,2699,217.8,240.1,35,31.8,40.3,,,,,,,,,,,
15,FW,FW,09/23/2024 21:41:39,137.4,2.6,15.2,3035,299,3050,224.2,245.1,23.6,35,42.6,,,,,,,,,,,
16,FW,FW,09/23/2024 21:42:08,134,0.7,14.5,2646,647,2724,218.3,240.4,30.6,29.7,38.8,,,,,,,,,,,
17,FW,FW,09/23/2024 21:43:45,134.8,2.1,13.7,4248,1044,4374,203.2,219.8,36.9,31.7,43.4,,,,,,,,,,,
18,FW,FW,09/23/2024 21:44:13,136.8,-2,15.1,2699,-29,2699,227.6,250.1,-10,33.4,40.8,,,,,,,,,,,
19,FW,FW,09/23/2024 21:44:59,134.7,3.4,17.1,1899,41,1899,236,261,17.9,33.4,38.5,,,,,,,,,,,
20,FW,FW,09/23/2024 21:45:22,134.7,4.2,15.4,3390,486,3425,214,233.8,34.7,34.4,43.4,,,,,,,,,,,
21,FW,FW,09/23/2024 21:45:47,137,1.4,13.9,2098,-466,2149,230.4,257.4,-18.6,27.3,35,,,,,,,,,,,
22,FW,FW,09/23/2024 21:46:30,134.9,-0.2,14.4,2528,332,2550,223.6,246.5,14.4,30,38.4,,,,,,,,,,,
23,FW,FW,09/23/2024 21:46:51,136.4,2.3,11.3,3896,472,3924,209.1,228.5,23.7,27.3,39.5,,,,,,,,,,,
24,FW,FW,09/23/2024 21:47:57,132.6,5.4,17,2517,403,2549,221.3,243.7,41.6,34.6,41.7,,,,,,,,,,,
25,FW,FW,09/23/2024 21:47:58,136.7,2.7,15.3,2347,-362,2375,231,255,-6.2,32.1,39.1,,,,,,,,,,,
26,FW,FW,09/23/2024 21:48:20,134.9,6.6,17.9,4260,1196,4425,203.2,219.2,58.7,40.4,48.5,,,,,,,,,,,
27,FW,FW,09/23/2024 21:48:45,136.4,5.1,18.7,4525,1270,4700,202.9,218,53.7,43.2,50,,,,,,,,,,,
28,FW,FW,09/23/2024 21:49:07,135.3,0.4,15.8,1217,-522,1324,229.1,261.2,-30.9,24.1,29.4,,,,,,,,,,,
29,FW,FW,09/23/2024 21:49:50,139.6,-0.8,11.2,2525,0,2525,228.9,254.1,-3.4,24.6,33.8,,,,,,,,,,,
30,FW,FW,09/23/2024 21:50:12,135.1,0.4,16.5,1733,238,1749,236.8,262.6,16.3,30.8,36.1,,,,,,,,,,,
31,FW,FW,09/23/2024 21:50:34,133.9,1.9,15.2,3784,1040,3924,205.8,223.9,39.8,33.5,44,,,,,,,,,,,
