Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,SW,Wedge,05/20/2025 04:27:11,71.6,-1.6,27.6,8373,-182,8375,79.4,81,-2.7,16,43.4,,,,,,,,,,,
2,SW,Wedge,05/20/2025 04:27:29,64.9,-0.6,41.2,4574,-832,4649,69.9,74.9,-4.1,21.7,53.3,,,,,,,,,,,
3,SW,Wedge,05/20/2025 04:27:57,60.4,0.2,43.3,3981,-590,4024,62.5,68.3,-2.7,20.1,53.6,,,,,,,,,,,
4,SW,Wedge,05/20/2025 04:28:14,62.6,-0.9,43.8,4045,-807,4125,64.3,69.9,-5.2,21.3,54.5,,,,,,,,,,,
5,SW,Wedge,05/20/2025 04:28:38,67.1,-1.6,35.2,0,0,0,56.1,83.7,-1.6,9.5,35.4,,,,,,,,,,,
6,SW,Wedge,05/20/2025 04:28:55,64.9,-0.2,38.1,6088,-668,6125,68.7,72.7,-2.5,19.4,51,,,,,,,,,,,
7,GW,Wedge,05/20/2025 04:29:57,73.8,-3.1,34.4,5258,-1226,5399,88,92.4,-14.4,23.1,50.1,,,,,,,,,,,
8,GW,Wedge,05/20/2025 04:30:10,73.8,0.9,35.3,6957,-496,6975,85.3,87.5,-1,24.2,51.7,,,,,,,,,,,
9,GW,Wedge,05/20/2025 04:30:54,80.5,-1.7,23.2,6870,641,6900,97.2,101.3,0.7,17.1,41,,,,,,,,,,,
10,GW,Wedge,05/20/2025 04:31:10,73.8,1.5,36.8,6523,1634,6725,83.5,86.2,10.5,24.6,52.6,,,,,,,,,,,
11,GW,Wedge,05/20/2025 04:31:30,73.8,0.1,29.1,6543,644,6575,85.8,91.4,3.2,18.4,45,,,,,,,,,,,
12,GW,Wedge,05/20/2025 04:31:44,73.8,-0.9,38.2,4164,-548,4200,84.6,92.1,-5.9,24.9,52.2,,,,,,,,,,,
13,GW,Wedge,05/20/2025 04:31:58,73.8,0.6,38.1,5647,-558,5675,82.8,86.5,-2.4,25.2,53.1,,,,,,,,,,,
14,GW,Wedge,05/20/2025 04:32:31,71.6,1.4,38.6,5454,1654,5699,78.7,81.4,9.3,23.6,52.9,,,,,,,,,,,
15,GW,Wedge,05/20/2025 04:32:45,73.8,1.1,39.7,3974,779,4050,84.6,92.8,7.8,26.3,53.5,,,,,,,,,,,
16,PW,Wedge,05/20/2025 04:33:42,73.8,0.6,35.8,5373,146,5375,86.2,89.8,2.1,24,51.2,,,,,,,,,,,
17,PW,Wedge,05/20/2025 04:34:06,78.3,0,33.2,6048,-131,6049,94.2,100,-1.2,25,50.2,,,,,,,,,,,
18,PW,Wedge,05/20/2025 04:34:28,76.1,-0.2,30.8,5749,-31,5749,92.4,98.9,-0.9,21.7,47.5,,,,,,,,,,,
