Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed,Push/Pull,Launch Angle,Back Spin,Side Spin,Total Spin,Carry,Total Distance,Offline,Peak Height,Descent Angle,Club Speed,Club Speed at Impact Location,Efficiency,Angle of Attack,Club Path,Face to Target,Lie,Loft,Face Impact Horizontal,Face Impact Vertical,Closure Rate
1,Dr,Driver,5/28/2024 1:58:35 AM,123 mph,4.60986471176147° R,27.1370124816895°,878 rpm,422 R rpm,974.14990234375 rpm,221.5 yds,228.5 yds,44.9 R yds,40.2 yds,41.8423233032227°,-,-,-,-,-,-,-,-,-,-,-
2,Dr,Driver,5/28/2024 1:59:01 AM,120.8 mph,8.0529613494873° L,18.4303379058838°,867 rpm,715 R rpm,1123.79443359375 rpm,190 yds,199.1 yds,6.4 R yds,21.1 yds,29.1513061523438°,-,-,-,-,-,-,-,-,-,-,-
3,Dr,Driver,5/28/2024 1:59:36 AM,127.5 mph,4.73947048187256° R,27.7262268066406°,2631 rpm,957 R rpm,2799.64453125 rpm,198.6 yds,226.5 yds,58.2 R yds,52.2 yds,52.7912368774414°,-,-,-,-,-,-,-,-,-,-,-
4,Dr,Driver,5/28/2024 2:00:01 AM,140.9 mph,0.735462784767151° L,21.3413791656494°,3510 rpm,678 R rpm,3574.88232421875 rpm,217.9 yds,234.5 yds,22.5 R yds,50.8 yds,51.3846015930176°,-,-,-,-,-,-,-,-,-,-,-
5,Dr,Driver,5/28/2024 2:00:31 AM,136.5 mph,3.01346516609192° L,20.1760578155518°,2621 rpm,128 R rpm,2624.12377929688 rpm,226.7 yds,246.4 yds,6.9 L yds,44.3 yds,46.9665603637695°,-,-,-,-,-,-,-,-,-,-,-
6,Dr,Driver,5/28/2024 2:01:11 AM,134.2 mph,5.05890560150146° L,21.2403545379639°,72 rpm,102 R rpm,124.851913452148 rpm,167.2 yds,264.1 yds,75.2 L yds,16.8 yds,23.2156963348389°,-,-,-,-,-,-,-,-,-,-,-
7,Dr,Driver,5/28/2024 2:02:08 AM,127.5 mph,3.17155337333679° L,23.1063613891602°,3428 rpm,819 R rpm,3524.47802734375 rpm,196.7 yds,220 yds,15.5 R yds,45.8 yds,50.7489356994629°,-,-,-,-,-,-,-,-,-,-,-
8,Dr,Driver,5/28/2024 2:02:39 AM,138.7 mph,3.22463703155518° L,23.2679061889648°,3700 rpm,862 R rpm,3799.08471679688 rpm,209.5 yds,254.4 yds,20.9 R yds,53.5 yds,53.0062217712402°,-,-,-,-,-,-,-,-,-,-,-
9,Dr,Driver,5/28/2024 2:03:12 AM,134.2 mph,2.5861554145813° L,20.9450988769531°,3471 rpm,612 R rpm,3524.54028320313 rpm,209.4 yds,255.5 yds,14.5 R yds,46.1 yds,49.9751167297363°,-,-,-,-,-,-,-,-,-,-,-
10,Dr,Driver,5/28/2024 2:03:52 AM,136.5 mph,3.66606712341309° R,21.5600757598877°,2778 rpm,1258 R rpm,3049.56518554688 rpm,215.2 yds,221.4 yds,59.2 R yds,45 yds,49.1032829284668°,-,-,-,-,-,-,-,-,-,-,-
11,Dr,Driver,5/28/2024 2:04:12 AM,134.2 mph,5.96579122543335° L,19.1179599761963°,49 rpm,1 L rpm,49.0102043151855 rpm,97 yds,125.1 yds,13.2 L yds,8.4 yds,19.1224060058594°,-,-,-,-,-,-,-,-,-,-,-
