Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Dr,Driver,06/14/2024 01:40:23,127.5,-3.6,17.4,4920,1521,5150,184.5,198.3,20.7,35.3,47.6,,,,,,,,,,,
2,Dr,Driver,06/14/2024 01:41:09,125.3,-7,20.6,3415,261,3425,192.7,209.5,-17.5,38.8,47.4,,,,,,,,,,,
3,Dr,Driver,06/14/2024 01:41:55,136.5,-1.4,22.5,3655,380,3675,210.7,226.8,7.7,51.6,52,,,,,,,,,,,
4,Dr,Driver,06/14/2024 01:42:43,123,-5.2,17.8,3974,633,4024,186.5,202.5,-1.6,33.7,45.4,,,,,,,,,,,
5,Dr,Driver,06/14/2024 01:43:35,138.7,-6.4,19.5,3570,-175,3574,216.1,232.8,-32.6,46,49.4,,,,,,,,,,,
6,Dr,Driver,06/14/2024 01:43:57,129.7,-4.3,21.9,4398,676,4450,191.5,205.8,2.2,45.9,51.3,,,,,,,,,,,
7,Dr,Driver,06/14/2024 01:44:28,129.7,-0.1,23,5449,1492,5650,181.9,194.4,30.6,47.9,53.7,,,,,,,,,,,
8,Dr,Driver,06/14/2024 01:47:10,138.7,-4.4,19.9,3257,-666,3324,220.7,237.8,-44.5,46.6,49.3,,,,,,,,,,,
9,Dr,Driver,06/14/2024 01:47:38,132,-1.4,22.3,4041,942,4149,195,209.7,21.7,46.5,51.6,,,,,,,,,,,
10,Dr,Driver,06/14/2024 01:48:06,136.5,-1.4,17.6,4442,537,4474,203.7,218.5,9.8,41.3,48.9,,,,,,,,,,,
11,Dr,Driver,06/14/2024 01:48:38,129.7,-5.2,14.4,5035,386,5050,191,205.2,-9.8,32.3,44.9,,,,,,,,,,,
12,Dr,Driver,06/14/2024 01:49:10,132,-2.7,20.4,5137,1197,5275,187.9,200.9,17.5,43.6,51.2,,,,,,,,,,,
13,Dr,Driver,06/14/2024 01:49:58,138.7,-3.3,23.4,2789,244,2800,227.9,246,-2.6,54.4,51,,,,,,,,,,,
14,Dr,Driver,06/14/2024 01:50:33,125.3,-1.4,23.3,3225,1075,3399,193.3,209.9,29.5,43.8,50.1,,,,,,,,,,,
15,Dr,Driver,06/14/2024 01:51:10,127.5,-0.1,23.8,2113,396,2150,215.4,236,20,44.7,47,,,,,,,,,,,
