Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,GW,Wedge,06/27/2024 01:32:02,62.6,-5,23.9,6205,-748,6250,65.6,74.6,-9.1,9.7,34.7,,,,,,,,,,,
2,GW,Wedge,06/27/2024 01:32:37,62.6,0.1,20.9,6346,207,6349,62,71.8,0.8,7.8,30.1,,,,,,,,,,,
3,GW,Wedge,06/27/2024 01:34:55,67.1,-2.1,19.2,4964,-325,4975,70.9,83,-4.5,8.3,29.2,,,,,,,,,,,
4,GW,Wedge,06/27/2024 01:35:17,71.6,4.4,21.4,5439,1431,5624,79.6,90.8,14.2,11.1,33.9,,,,,,,,,,,
5,GW,Wedge,06/27/2024 01:35:30,62.6,1.9,33.1,5697,-155,5699,69.5,77.5,2.1,15.8,45.5,,,,,,,,,,,
6,GW,Wedge,06/27/2024 01:36:43,78.3,1.2,5.1,1281,218,1299,35.8,100,3.8,0.9,5.6,,,,,,,,,,,
7,GW,Wedge,06/27/2024 01:38:16,58.2,2.1,33.7,6136,402,6149,60,66.8,3.7,13.3,44.7,,,,,,,,,,,
8,GW,Wedge,06/27/2024 01:38:30,71.6,-4.8,26.5,6450,-1397,6600,82.9,91.9,-14.5,15.4,41.5,,,,,,,,,,,
9,GW,Wedge,06/27/2024 01:38:46,76.1,11.8,17.6,3652,851,3750,84.9,100.5,27.1,9.3,28,,,,,,,,,,,
10,GW,Wedge,06/27/2024 01:39:05,64.9,1.3,22,6099,99,6100,66.9,77.5,2.1,9.1,32.3,,,,,,,,,,,
11,GW,Wedge,06/27/2024 01:39:19,69.3,-7.8,8.6,2112,-1240,2449,42.3,63.3,-13,1.8,10.7,,,,,,,,,,,
12,GW,Wedge,06/27/2024 01:39:56,67.1,1.1,27.6,6484,-925,6550,74.9,83,-2,14,40.8,,,,,,,,,,,
13,GW,Wedge,06/27/2024 01:40:09,55.9,8.7,33.2,8030,1780,8225,55.3,60.6,13.1,12.1,44.4,,,,,,,,,,,
14,LW,Wedge,06/27/2024 01:40:51,60.4,6.7,23.8,6453,531,6475,60.9,69.3,9.9,8.8,33.5,,,,,,,,,,,
15,LW,Wedge,06/27/2024 01:41:04,78.3,-6.3,3.4,1471,-799,1674,25.1,90.7,-13.6,0.4,3.7,,,,,,,,,,,
16,LW,Wedge,06/27/2024 01:41:30,47,1.8,44.5,6048,-562,6074,40.8,45,0.7,12.5,52.3,,,,,,,,,,,
17,LW,Wedge,06/27/2024 01:41:54,44.7,1.8,12.1,0,0,0,13.3,29.6,0.9,0.7,11.9,,,,,,,,,,,
18,LW,Wedge,06/27/2024 01:42:15,55.9,-4.8,46.8,2723,-650,2800,53.4,60.9,-7.7,18.1,54.8,,,,,,,,,,,
19,LW,Wedge,06/27/2024 01:42:27,49.2,-1.6,45.8,0,0,0,42.9,55.9,-1.5,10.4,46.4,,,,,,,,,,,
20,SW,Wedge,06/27/2024 01:43:08,58.2,2.8,37.1,4864,-318,4874,60,67.4,2.4,15,47.6,,,,,,,,,,,
21,SW,Wedge,06/27/2024 01:43:22,49.2,4.9,30.1,4669,-721,4724,45.8,53.8,3.4,8,37.4,,,,,,,,,,,
22,SW,Wedge,06/27/2024 01:43:36,69.3,3,35.5,8552,-619,8574,76.2,81.5,2.3,21.1,51.3,,,,,,,,,,,
23,SW,Wedge,06/27/2024 01:43:50,64.9,-4.2,29.5,7518,-2424,7899,71,78,-13.4,14.3,43.2,,,,,,,,,,,
24,SW,Wedge,06/27/2024 01:44:04,60.4,-1.1,41.9,3122,-412,3149,63.5,72.2,-3.5,18.7,51.6,,,,,,,,,,,
25,7i,Iron,06/27/2024 01:44:49,73.8,-5.7,15.8,4343,-525,4375,77.6,91.8,-12.3,7.5,25,,,,,,,,,,,
26,7i,Iron,06/27/2024 01:45:04,71.6,4.4,25,4297,-140,4299,82.7,94.4,6.5,13.5,37.6,,,,,,,,,,,
27,7i,Iron,06/27/2024 01:45:19,76.1,6.9,29.8,3546,449,3574,94.1,106.2,17.1,19.6,44,,,,,,,,,,,
28,7i,Iron,06/27/2024 01:45:32,78.3,6.5,28,7774,2182,8074,93.6,101.2,22.7,20.4,46.4,,,,,,,,,,,
29,7i,Iron,06/27/2024 01:45:58,76.1,-7.4,19.4,2666,-2846,3900,78.2,94,-29.8,8.9,28.3,,,,,,,,,,,
30,7i,Iron,06/27/2024 01:46:15,87.2,-0.1,24.1,6099,-66,6099,112.5,122.5,-0.9,21.9,44.3,,,,,,,,,,,
31,7i,Iron,06/27/2024 01:46:31,87.2,2.1,22.3,6680,511,6700,110.1,119.7,8.3,19.6,42.3,,,,,,,,,,,
