Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,GW,Wedge,04/21/2025 04:55:27,76.1,-2,32.6,6850,-1016,6925,88.9,91.8,-8.6,23.3,49.3,,,,,,,,,,,
2,GW,Wedge,04/21/2025 04:55:43,76.1,1.3,35.3,7397,-201,7400,87.4,89,1.3,25.9,51.9,,,,,,,,,,,
3,GW,Wedge,04/21/2025 04:56:12,78.3,-0.4,32.9,10070,-1050,10125,88.3,87.9,-4.8,25.5,52.3,,,,,,,,,,,
4,PW,Wedge,04/21/2025 04:56:49,82.8,-0.2,34.2,6197,-169,6199,97.1,100.5,1.5,28.2,52,,,,,,,,,,,
5,PW,Wedge,04/21/2025 04:58:21,85,1.9,29.1,9671,-739,9699,98.6,99.1,0.1,25.5,50.1,,,,,,,,,,,
6,PW,Wedge,04/21/2025 04:58:48,85,0.5,29.6,8247,-678,8275,99.8,101.2,-2.7,25.5,49.3,,,,,,,,,,,
7,PW,Wedge,04/21/2025 04:59:23,80.5,1.4,29.9,10672,-232,10675,90.8,90,1.5,23.7,50.2,,,,,,,,,,,
8,PW,Wedge,04/21/2025 04:59:41,87.2,-2.1,23.6,9824,107,9825,105.2,105.9,-3.5,22.1,45.7,,,,,,,,,,,
9,PW,Wedge,04/21/2025 05:00:36,85,-0.3,29.6,8654,1727,8825,101.1,102.7,8.8,26.5,50.3,,,,,,,,,,,
10,PW,Wedge,04/21/2025 05:01:02,82.8,0.9,30.1,7219,1237,7324,100.1,102.9,10.3,25.4,49.3,,,,,,,,,,,
11,PW,Wedge,04/21/2025 05:01:44,82.8,0.1,29.1,10393,-809,10424,94.9,94.6,-3.2,24.4,50,,,,,,,,,,,
12,PW,Wedge,04/21/2025 05:02:12,85,1.8,29.6,7962,-445,7974,100.4,102.2,0.9,25.6,49.4,,,,,,,,,,,
13,PW,Wedge,04/21/2025 05:03:22,80.5,-0.9,29,10427,-686,10450,93.7,93.4,-4.5,23.8,49.6,,,,,,,,,,,
14,PW,Wedge,04/21/2025 05:03:39,87.2,2.3,31.3,8539,-419,8549,102.4,103.5,1.9,29.1,52.1,,,,,,,,,,,
15,PW,Wedge,04/21/2025 05:04:20,87.2,-1.6,28.4,9792,1899,9974,104.1,104.5,6.2,27.1,50.4,,,,,,,,,,,
16,PW,Wedge,04/21/2025 05:04:37,85,2.6,30.4,8101,-622,8125,101.3,102.8,1.3,27,50.5,,,,,,,,,,,
17,PW,Wedge,04/21/2025 05:05:20,85,-0.3,26.2,10636,-1168,10700,98.6,98.3,-5.6,22.9,47.9,,,,,,,,,,,
18,PW,Wedge,04/21/2025 05:05:40,89.5,-0.8,29.5,8399,-922,8449,107.3,108.7,-7.1,28.9,51.2,,,,,,,,,,,
19,PW,Wedge,04/21/2025 05:06:17,80.5,2.1,29.1,10584,-581,10600,93.2,92.5,1.3,23.8,49.8,,,,,,,,,,,
20,PW,Wedge,04/21/2025 05:06:35,87.2,-1.1,26.8,10937,-900,10974,101.4,100.7,-6.3,24.9,49.5,,,,,,,,,,,
21,PW,Wedge,04/21/2025 05:07:01,87.2,-0.5,29.9,8162,-448,8174,105.9,107.4,-3.7,28.5,51.1,,,,,,,,,,,
22,PW,Wedge,04/21/2025 05:07:54,87.2,-3.6,29.1,9409,1771,9574,104.4,105,2.4,27.9,50.9,,,,,,,,,,,
23,PW,Wedge,04/21/2025 05:08:14,87.2,-1.3,29.7,7976,1411,8100,103.6,105.4,5.5,27.1,50.3,,,,,,,,,,,
24,PW,Wedge,04/21/2025 05:08:30,82.8,1,28.6,7361,-971,7425,98.7,101.4,-3.8,23.3,47.5,,,,,,,,,,,
25,PW,Wedge,04/21/2025 05:08:49,89.5,-0.6,27.1,9709,1657,9849,105.5,106,7.8,26.1,49.6,,,,,,,,,,,
26,PW,Wedge,04/21/2025 05:09:03,89.5,-1.7,28.8,8616,1525,8750,108,109,5.4,28.5,50.9,,,,,,,,,,,
27,PW,Wedge,04/21/2025 05:09:17,89.5,1.5,31.6,7405,813,7449,106.4,108.8,8.8,30.4,52.2,,,,,,,,,,,
28,PW,Wedge,04/21/2025 05:09:34,87.2,-1.3,29.6,9371,-255,9374,104.6,105.2,-3.8,28.6,51.6,,,,,,,,,,,
29,PW,Wedge,04/21/2025 05:09:54,89.5,0.9,29.8,9916,-816,9950,103.7,103.7,-2.5,29,52.2,,,,,,,,,,,
30,PW,Wedge,04/21/2025 05:10:34,87.2,-2.7,28.5,9676,1550,9799,103.1,103.5,2.6,26.8,50.5,,,,,,,,,,,
31,PW,Wedge,04/21/2025 05:10:50,87.2,-0.3,29,9778,-644,9799,101.6,101.9,-3.8,26.8,50.4,,,,,,,,,,,
32,PW,Wedge,04/21/2025 05:11:07,85,1.2,29.9,8845,-980,8899,101.9,102.8,2.9,27.3,50.9,,,,,,,,,,,
