Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,LW,Wedge,04/21/2025 03:19:04,26.8,-2.8,37,3833,336,3848,15.2,16.5,-0.8,3.1,38.3,,,,,,,,,,,
2,LW,Wedge,04/21/2025 03:19:14,26.8,-2.8,34.9,4117,337,4131,13.4,14.3,-0.7,2.6,35.5,,,,,,,,,,,
3,LW,Wedge,04/21/2025 03:19:28,35.8,-3.9,25.2,-111,146,183,21.8,35,-2,2.7,24.4,,,,,,,,,,,
4,LW,Wedge,04/21/2025 03:19:59,55.9,4.2,42.7,7823,-644,7849,52,51.9,3,16.5,53.9,,,,,,,,,,,
5,LW,Wedge,04/21/2025 03:20:29,49.2,4.9,43,6672,182,6674,44.9,45.9,4.4,13.5,52.1,,,,,,,,,,,
6,LW,Wedge,04/21/2025 03:20:43,44.7,12.7,39,6315,1915,6599,36.5,42.6,12.1,8.8,46.6,,,,,,,,,,,
7,LW,Wedge,04/21/2025 03:20:54,53.7,2.7,41.9,5844,1463,6024,49.5,51.7,5.3,14.4,51.6,,,,,,,,,,,
8,LW,Wedge,04/21/2025 03:21:06,55.9,-3,38.3,7580,-1486,7724,54.7,54.6,-5.4,14.6,49.4,,,,,,,,,,,
9,LW,Wedge,04/21/2025 03:21:22,58.2,1.8,39.4,7257,1162,7349,57,57.8,4.4,16.1,51.1,,,,,,,,,,,
10,SW,Wedge,04/21/2025 03:22:17,67.1,2,37.7,7872,-908,7924,72.1,73.4,-0.2,21.3,52.5,,,,,,,,,,,
11,SW,Wedge,04/21/2025 03:22:37,67.1,4.3,40.8,7001,-576,7025,69.3,71,3.7,22.6,54.4,,,,,,,,,,,
12,SW,Wedge,04/21/2025 03:22:55,67.1,2.7,40.9,6763,1230,6874,69.5,71.4,7.7,22.6,54.1,,,,,,,,,,,
13,SW,Wedge,04/21/2025 03:23:21,71.6,2,36.5,8316,1754,8499,76.8,77.2,8.6,22.4,52.6,,,,,,,,,,,
14,SW,Wedge,04/21/2025 03:23:52,58.2,3.3,41.3,6136,-404,6149,57.3,58.6,2.7,17.2,52.2,,,,,,,,,,,
15,SW,Wedge,04/21/2025 03:24:08,69.3,2.1,38.2,7511,1156,7599,74.7,75.8,6.8,22.7,52.9,,,,,,,,,,,
16,GW,Wedge,04/21/2025 03:25:11,73.8,0.1,35.7,5744,-1345,5899,83.5,87.6,-6.5,23.1,50.9,,,,,,,,,,,
17,GW,Wedge,04/21/2025 03:25:40,71.6,1.1,36.8,6712,-920,6775,80.3,82.8,-2.6,23.5,52.2,,,,,,,,,,,
18,GW,Wedge,04/21/2025 03:26:08,71.6,3.9,37.2,7093,312,7100,78.6,80.2,7.2,23.3,52.5,,,,,,,,,,,
19,GW,Wedge,04/21/2025 03:26:27,73.8,0.6,35.2,7619,-677,7649,84.2,86.1,-1.9,24,52,,,,,,,,,,,
20,GW,Wedge,04/21/2025 03:26:48,69.3,2.4,36.2,8720,-285,8725,76.3,76.4,2.5,22.2,52.3,,,,,,,,,,,
21,GW,Wedge,04/21/2025 03:27:06,76.1,-1.4,33.8,5469,238,5474,88.5,92.1,-0.9,23,49.7,,,,,,,,,,,
22,GW,Wedge,04/21/2025 03:27:26,71.6,2.9,38.1,7544,288,7549,78.3,79.4,5.3,24.5,53.7,,,,,,,,,,,
23,PW,Wedge,04/21/2025 03:28:30,78.3,4.5,33.7,8609,520,8625,90.6,91.4,9.9,26,52.5,,,,,,,,,,,
24,PW,Wedge,04/21/2025 03:28:50,78.3,3.5,35.8,6548,-142,6550,90.9,93.2,5.3,27.1,53,,,,,,,,,,,
25,PW,Wedge,04/21/2025 03:29:06,78.3,-1.1,32.5,6795,-634,6825,91.2,94.1,-5.8,23.7,50.1,,,,,,,,,,,
26,PW,Wedge,04/21/2025 03:29:23,73.8,9.6,38.1,6515,357,6525,81.6,88.6,17.3,25.2,53.6,,,,,,,,,,,
27,PW,Wedge,04/21/2025 03:29:38,78.3,1.3,32.3,10423,170,10424,87.7,85.6,2.9,24.4,52.1,,,,,,,,,,,
28,PW,Wedge,04/21/2025 03:29:56,85,1.9,33,8240,-1182,8324,99.1,100.7,-2.9,28.9,52.8,,,,,,,,,,,
29,PW,Wedge,04/21/2025 03:30:21,82.8,1.2,32.3,7606,2038,7874,98.5,104.7,12.9,27.3,52,,,,,,,,,,,
30,PW,Wedge,04/21/2025 03:30:41,85,1.2,34.4,6624,2016,6924,100.5,103.5,15.2,30,53.6,,,,,,,,,,,
31,PW,Wedge,04/21/2025 03:31:03,80.5,3.1,35.1,6493,-283,6499,95.1,99.3,3.7,28.3,53.1,,,,,,,,,,,
32,PW,Wedge,04/21/2025 03:31:25,78.3,1.3,33.7,6648,145,6650,93.2,96.1,3.1,25.8,51.4,,,,,,,,,,,
33,PW,Wedge,04/21/2025 03:31:40,82.8,-1.8,28.5,8038,3393,8725,96,98.7,12.2,22.2,48.2,,,,,,,,,,,
34,PW,Wedge,04/21/2025 03:31:55,73.8,5,38.3,5147,2140,5574,83.4,91.5,20.9,25.2,53.4,,,,,,,,,,,
35,PW,Wedge,04/21/2025 03:32:13,78.3,0.6,31.6,6773,2980,7400,92.6,99.4,17.2,23.2,49.6,,,,,,,,,,,
36,PW,Wedge,04/21/2025 03:32:42,80.5,3.8,38.2,5989,2033,6325,91.3,94.5,17.7,29.7,55.2,,,,,,,,,,,
37,PW,Wedge,04/21/2025 03:33:02,80.5,1.3,33.2,7236,437,7249,95.5,98.7,4.7,26.7,51.9,,,,,,,,,,,
38,PW,Wedge,04/21/2025 03:33:20,73.8,0.9,32.5,6335,-434,6350,85.4,87.9,0.5,21.1,48.6,,,,,,,,,,,
39,PW,Wedge,04/21/2025 03:33:38,80.5,2.7,34,5391,2633,6000,94.2,97.6,20.2,25.3,51.3,,,,,,,,,,,
40,PW,Wedge,04/21/2025 03:33:52,78.3,3,37.1,6032,463,6050,91.2,94.1,8.1,28.4,54,,,,,,,,,,,
41,PW,Wedge,04/21/2025 03:34:12,71.6,3.6,37.8,5107,420,5124,82.8,92.9,8.6,24.4,52.5,,,,,,,,,,,
42,PW,Wedge,04/21/2025 03:34:32,80.5,-2.1,32.4,5706,1171,5825,98.2,103.4,4.1,25.6,50.3,,,,,,,,,,,
43,PW,Wedge,04/21/2025 03:34:52,73.8,5.1,39,5447,178,5450,84.8,93.8,9.5,27.1,54.3,,,,,,,,,,,
44,9i,Iron,04/21/2025 03:35:59,78.3,2.8,27.3,8998,691,9024,91.7,101.4,8.4,19.8,46.7,,,,,,,,,,,
