Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,GW,Wedge,04/03/2025 03:09:24,69.3,4.6,42.8,3574,19,3574,77,83.8,7.3,25.7,55,,,,,,,,,,,
2,GW,Wedge,04/03/2025 03:10:09,69.3,5.8,42.5,3649,59,3649,78.2,85,9.5,26.1,55,,,,,,,,,,,
3,GW,Wedge,04/03/2025 03:10:52,71.6,5.3,40.2,6348,138,6350,76.8,79.2,8.3,25,54.5,,,,,,,,,,,
4,GW,Wedge,04/03/2025 03:11:36,73.8,2.3,33.8,9371,-255,9374,81,81.2,2.7,22.1,51.2,,,,,,,,,,,
5,GW,Wedge,04/03/2025 03:11:55,71.6,3.5,33.7,10165,443,10175,78.9,78,6.7,21.5,51.4,,,,,,,,,,,
6,GW,Wedge,04/03/2025 03:12:34,67.1,4.5,30.8,10736,531,10749,73.5,72.2,7.9,17.2,47.7,,,,,,,,,,,
7,GW,Wedge,04/03/2025 03:12:52,71.6,3.5,34.1,7074,115,7075,79.8,82.1,5.8,20.7,49.6,,,,,,,,,,,
8,GW,Wedge,04/03/2025 03:13:10,67.1,5.4,36.4,6637,400,6649,73.7,76.2,9.3,20.1,50.5,,,,,,,,,,,
9,GW,Wedge,04/03/2025 03:13:29,64.9,7.4,40.8,6171,202,6174,68.5,70.9,10.5,21.6,53.6,,,,,,,,,,,
10,PW,Wedge,04/03/2025 03:15:15,73.8,4.1,30.9,9597,-209,9599,84.8,85.1,5.8,20.9,49.1,,,,,,,,,,,
11,PW,Wedge,04/03/2025 03:15:32,78.3,5.1,36,5098,139,5100,95.2,100.8,10.6,27.8,52.6,,,,,,,,,,,
12,PW,Wedge,04/03/2025 03:15:51,71.6,7.2,33,7981,832,8024,81.2,82.8,14.3,20.6,49.4,,,,,,,,,,,
13,PW,Wedge,04/03/2025 03:16:15,80.5,2.8,30.7,9746,748,9775,93.9,94.2,8.1,24.6,50.9,,,,,,,,,,,
14,PW,Wedge,04/03/2025 03:16:45,78.3,6.8,36.5,5467,598,5500,91.3,96.1,15.9,27,52.8,,,,,,,,,,,
15,PW,Wedge,04/03/2025 03:17:00,82.8,3.4,29.6,9517,783,9549,97.7,98.2,9.8,24.8,50.4,,,,,,,,,,,
16,PW,Wedge,04/03/2025 03:17:21,85,0.4,28.6,9199,-50,9199,100.6,101.5,0.4,24.7,49.7,,,,,,,,,,,
17,PW,Wedge,04/03/2025 03:17:52,78.3,1.4,30.5,10260,901,10299,89.2,88.7,5.8,22.7,50.3,,,,,,,,,,,
18,PW,Wedge,04/03/2025 03:18:12,71.6,4,30.9,6812,1244,6925,80.5,83.9,11.5,18.1,46.2,,,,,,,,,,,
19,PW,Wedge,04/03/2025 03:18:39,80.5,3.7,39,2949,64,2950,102.4,112.4,8.4,31.9,53.8,,,,,,,,,,,
20,PW,Wedge,04/03/2025 03:18:57,82.8,1.6,30.4,8986,493,9000,96.6,97.4,5.1,25,50.6,,,,,,,,,,,
21,PW,Wedge,04/03/2025 03:19:18,71.6,9.4,38,6414,880,6474,80.1,83.1,18.6,24.2,53.1,,,,,,,,,,,
22,PW,Wedge,04/03/2025 03:19:30,82.8,3.2,29.9,9504,626,9525,98.6,99,8.8,25.5,50.9,,,,,,,,,,,
23,PW,Wedge,04/03/2025 03:19:51,82.8,1,29,10442,398,10450,96.8,96.4,3.5,24.4,50.5,,,,,,,,,,,
24,PW,Wedge,04/03/2025 03:20:07,71.6,0.2,28.2,8092,1160,8175,81.1,82.9,4.5,16.7,44.3,,,,,,,,,,,
25,PW,Wedge,04/03/2025 03:20:22,80.5,-0.6,29.1,9021,246,9024,96.1,96.9,0,23.3,49.2,,,,,,,,,,,
26,9i,Iron,04/03/2025 03:21:32,89.5,3.5,28,7624,627,7650,110.1,112.7,11.6,26.8,49.6,,,,,,,,,,,
27,9i,Iron,04/03/2025 03:21:55,85,4.3,28.7,8869,1669,9025,102.8,104,17.4,25.5,49.7,,,,,,,,,,,
28,9i,Iron,04/03/2025 03:22:10,89.5,1.3,26.2,9108,550,9125,111.9,113,6,26.5,49.4,,,,,,,,,,,
29,9i,Iron,04/03/2025 03:22:29,89.5,1.1,26,9329,922,9374,110.5,111.4,7.6,25.8,49.2,,,,,,,,,,,
30,9i,Iron,04/03/2025 03:22:45,87.2,-2.2,23.9,8687,810,8725,105.8,107.6,0.1,21.3,45.4,,,,,,,,,,,
31,8i,Iron,04/03/2025 03:23:38,89.5,2.9,25.4,8833,1967,9049,111.8,113.3,18.3,25.3,48.5,,,,,,,,,,,
32,8i,Iron,04/03/2025 03:23:56,94,2.4,25,6513,898,6575,122.8,127.9,14.1,27,47.9,,,,,,,,,,,
33,8i,Iron,04/03/2025 03:24:15,96.2,-0.4,24.8,6270,239,6275,127.3,132.7,1.6,28.3,48.2,,,,,,,,,,,
34,8i,Iron,04/03/2025 03:24:57,94,4.8,23.7,8284,818,8324,120.8,123.2,17.1,26.3,47.6,,,,,,,,,,,
35,8i,Iron,04/03/2025 03:25:14,96.2,0.9,25.7,6833,750,6874,125.5,129.8,9.3,29.4,49.4,,,,,,,,,,,
36,8i,Iron,04/03/2025 03:25:38,94,-0.3,21.2,8654,1289,8749,119.7,121.8,8.4,23.1,45.1,,,,,,,,,,,
37,8i,Iron,04/03/2025 03:25:54,91.7,-0.4,23.7,4899,80,4900,123.4,132.5,0.1,23.9,44.3,,,,,,,,,,,
38,8i,Iron,04/03/2025 03:26:07,89.5,-1,21.6,8205,856,8250,111.1,113.9,3.4,20.4,43.5,,,,,,,,,,,
39,8i,Iron,04/03/2025 03:26:36,91.7,0.1,16.6,6614,1779,6849,112.1,119.2,13.9,14.9,35.9,,,,,,,,,,,
40,8i,Iron,04/03/2025 03:27:00,89.5,1.5,23.7,5195,226,5200,116.3,124.6,5.9,21.9,43.2,,,,,,,,,,,
41,8i,Iron,04/03/2025 03:27:28,87.2,0.1,21.3,9326,1808,9500,105.3,106.7,9.6,18.8,42.6,,,,,,,,,,,
42,8i,Iron,04/03/2025 03:27:42,98.4,1.2,23.5,7181,512,7199,128.2,132.2,7.7,27.9,48,,,,,,,,,,,
43,6i,Iron,04/03/2025 03:28:31,102.9,3,20.4,5802,1425,5974,139.9,147,25.7,26.3,45.2,,,,,,,,,,,
44,6i,Iron,04/03/2025 03:29:04,105.1,1.7,19.2,4726,467,4749,144.7,155.3,12.2,24.6,42.6,,,,,,,,,,,
45,6i,Iron,04/03/2025 03:30:29,105.1,1.1,20.7,5542,1330,5699,141.7,149.8,20.6,27,45.5,,,,,,,,,,,
46,6i,Iron,04/03/2025 03:30:46,100.7,-2.4,17.3,2930,338,2949,144,161.9,0.6,18.9,35,,,,,,,,,,,
47,6i,Iron,04/03/2025 03:31:15,102.9,4.5,22.3,5337,1219,5474,141.4,149.3,28.9,28.8,46.8,,,,,,,,,,,
48,6i,Iron,04/03/2025 03:31:34,100.7,1,18.5,4615,1405,4824,136.4,147.8,22.5,21.3,40.2,,,,,,,,,,,
49,6i,Iron,04/03/2025 03:31:49,107.4,0.3,20,5807,702,5849,147.5,155,10.6,28.5,46.1,,,,,,,,,,,
50,6i,Iron,04/03/2025 03:32:06,102.9,1,20,6910,2021,7199,133.8,139.2,22.9,25,45.2,,,,,,,,,,,
51,Dr,Driver,04/03/2025 03:34:54,132,-0.1,14.6,2088,217,2099,217.6,243.5,10.8,26.8,35.4,,,,,,,,,,,
52,Dr,Driver,04/03/2025 03:36:23,129.7,-0.1,15.9,3083,757,3175,201.3,218.3,26.2,31,41.6,,,,,,,,,,,
