Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Gap wedge,Wedge,03/21/2025 22:56:41,75.6,0.8,31.8,7121,-1220,7225,89.2,96.1,-4.8,22,48.8,,,,,,,,,,,
2,Gap wedge,Wedge,03/21/2025 22:56:54,72.9,1,33.3,8054,-1071,8125,83.4,88.3,-2.8,21.7,49.9,,,,,,,,,,,
3,Gap wedge,Wedge,03/21/2025 22:57:11,77.4,-1.5,31.2,9027,641,9050,90.5,95.5,0.2,23,49.9,,,,,,,,,,,
4,Gap wedge,Wedge,03/21/2025 22:57:43,70.4,1.2,36.2,6966,-342,6974,79.2,84.4,0.4,22.2,51.3,,,,,,,,,,,
5,Gap wedge,Wedge,03/21/2025 22:57:57,83.5,1.2,26.7,9516,3229,10049,99.9,100.6,15.4,22.3,47.8,,,,,,,,,,,
6,Gap wedge,Wedge,03/21/2025 22:58:11,80.5,-1.7,32,10298,-168,10299,93,93.3,-3.4,26,52.3,,,,,,,,,,,
7,Gap wedge,Wedge,03/21/2025 22:58:55,73.8,3,34.4,10509,3074,10949,80.7,83.6,13.9,23.1,52.9,,,,,,,,,,,
8,Gap wedge,Wedge,03/21/2025 22:59:25,75.9,0.7,34.2,10598,173,10599,84.6,87.7,1.7,24.7,53.1,,,,,,,,,,,
9,Gap wedge,Wedge,03/21/2025 22:59:41,78.3,-1.3,29.2,10630,642,10649,91,95.2,0.4,22.1,49.3,,,,,,,,,,,
10,Gap wedge,Wedge,03/21/2025 22:59:59,79.9,-1.3,30.5,9603,-949,9650,94,94.5,-5.8,24.1,50.4,,,,,,,,,,,
11,Gap wedge,Wedge,03/21/2025 23:00:31,74.9,-1.7,41.5,3545,-174,3549,87.8,98.2,-4.4,29.3,55,,,,,,,,,,,
12,Gap wedge,Wedge,03/21/2025 23:00:46,77.7,-1.7,39.5,4263,-562,4300,92.2,96.4,-6.9,29.7,54.5,,,,,,,,,,,
13,Gap wedge,Wedge,03/21/2025 23:01:01,74.1,1,35.5,8895,-294,8900,83.3,87.2,0.5,24.4,52.7,,,,,,,,,,,
14,Gap wedge,Wedge,03/21/2025 23:01:16,81.1,-0.1,32.2,10109,-1839,10275,93.8,94.1,-7.1,26.3,52.5,,,,,,,,,,,
15,Pitching Wedge,Wedge,03/21/2025 23:01:59,83.7,2.3,33.7,5744,-252,5750,103.4,106.8,2.4,29.2,52.1,,,,,,,,,,,
16,Pitching Wedge,Wedge,03/21/2025 23:02:36,87.1,0.8,31,9048,-692,9074,104.9,105.5,-1.9,29.3,52.4,,,,,,,,,,,
17,Pitching Wedge,Wedge,03/21/2025 23:03:04,82,-0.2,29.6,8313,-775,8349,99.1,100.2,-4,24.4,49.4,,,,,,,,,,,
18,Pitching Wedge,Wedge,03/21/2025 23:03:20,83.5,-1.8,28.4,7852,-862,7899,102.7,104.3,-7.9,24.2,48.5,,,,,,,,,,,
19,Pitching Wedge,Wedge,03/21/2025 23:03:36,84.9,0.5,34.2,5338,-621,5374,105.7,108.2,-3.7,30.5,52.6,,,,,,,,,,,
20,Pitching Wedge,Wedge,03/21/2025 23:03:58,78.8,2.3,29.5,7149,77,7149,95.4,97.6,4.3,22.1,47.6,,,,,,,,,,,
21,Pitching Wedge,Wedge,03/21/2025 23:04:17,93.3,-2.2,27.7,9064,-1249,9150,115.9,120.9,-12.7,30,51.3,,,,,,,,,,,
22,Pitching Wedge,Wedge,03/21/2025 23:04:34,88,1.1,29,9949,-54,9949,106.4,106.8,1.7,28.2,51.5,,,,,,,,,,,
23,Pitching Wedge,Wedge,03/21/2025 23:05:01,91.8,0.7,29.2,9504,-626,9525,112.2,116.6,-2.4,30.8,52.4,,,,,,,,,,,
24,Pitching Wedge,Wedge,03/21/2025 23:05:30,88.5,0.8,27.1,10044,-332,10049,108.1,108.6,-0.1,26.6,50.1,,,,,,,,,,,
25,Pitching Wedge,Wedge,03/21/2025 23:05:56,85.4,-1.6,33.2,5143,-921,5225,107.5,115.5,-11.2,29.7,51.7,,,,,,,,,,,
26,Pitching Wedge,Wedge,03/21/2025 23:06:09,88.5,2.4,29.8,9785,1125,9849,106.5,106.9,9.9,29.2,52.3,,,,,,,,,,,
27,Pitching Wedge,Wedge,03/21/2025 23:06:28,83.4,0.8,29.4,9115,-797,9150,100.4,101.1,-2.2,25.3,50.1,,,,,,,,,,,
28,Pitching Wedge,Wedge,03/21/2025 23:06:47,85.4,5.1,31,10009,549,10024,101.1,101.5,11.4,28.3,52.5,,,,,,,,,,,
29,Pitching Wedge,Wedge,03/21/2025 23:07:12,81.7,4.3,34,7024,114,7025,97.9,99.7,8.1,28.2,52.5,,,,,,,,,,,
30,9 iron,Iron,03/21/2025 23:08:10,87.6,1.9,29.1,7411,-445,7424,109.5,117,0.8,27.6,50.1,,,,,,,,,,,
31,9 iron,Iron,03/21/2025 23:08:32,88.8,-1.3,27.3,6870,-1464,7024,112.5,120,-13.7,26,48.4,,,,,,,,,,,
32,9 iron,Iron,03/21/2025 23:08:58,84.3,2.1,28.3,6563,-396,6575,105.7,113.2,1.4,24.3,47.8,,,,,,,,,,,
33,9 iron,Iron,03/21/2025 23:09:20,81.9,-3.7,26.3,4262,-564,4299,105.4,117,-13,20.3,43,,,,,,,,,,,
34,9 iron,Iron,03/21/2025 23:09:42,87,-1,26,6084,-702,6124,111.6,122,-8,23.5,46,,,,,,,,,,,
35,9 iron,Iron,03/21/2025 23:09:59,86.1,3.3,30.3,5600,0,5600,109.8,120.1,7,27.5,49.7,,,,,,,,,,,
36,9 iron,Iron,03/21/2025 23:10:14,90.3,4.6,27.7,9468,1040,9525,111,115.8,15.3,28.1,50.8,,,,,,,,,,,
37,9 iron,Iron,03/21/2025 23:10:37,86.3,0,27.5,5592,-802,5649,110.9,122.1,-7.1,24.5,47,,,,,,,,,,,
38,9 iron,Iron,03/21/2025 23:10:50,91.4,2.9,28.3,7845,-256,7849,115,116.6,4.1,29.3,50.7,,,,,,,,,,,
39,9 iron,Iron,03/21/2025 23:11:26,88.1,3.7,30.2,7647,208,7650,109.2,116.3,8.9,29.1,51.3,,,,,,,,,,,
40,9 iron,Iron,03/21/2025 23:11:40,89.8,0.6,25.1,8758,-537,8774,112.7,113.7,-1.9,25,47.8,,,,,,,,,,,
41,9 iron,Iron,03/21/2025 23:11:55,93,2.1,26.9,9141,399,9150,116.2,117,6.6,29.1,50.6,,,,,,,,,,,
42,9 iron,Iron,03/21/2025 23:12:09,94.7,1.3,27,8497,185,8499,119.7,120.9,4,30.3,50.8,,,,,,,,,,,
43,9 iron,Iron,03/21/2025 23:12:29,86,6.5,35.9,5072,1620,5324,105.7,113.7,26.8,32.4,54.1,,,,,,,,,,,
44,9 iron,Iron,03/21/2025 23:12:46,80.5,3.6,31.6,5243,259,5249,100.4,108.6,8.8,24.9,49,,,,,,,,,,,
45,8 iron,Iron,03/21/2025 23:14:08,96.8,1.8,22.4,9687,850,9724,122.9,123.7,8.9,26.4,47.9,,,,,,,,,,,
46,8 iron,Iron,03/21/2025 23:14:46,83.3,1.8,28,6599,-35,6599,104.2,111.9,3.2,23.5,47.3,,,,,,,,,,,
47,8 iron,Iron,03/21/2025 23:15:00,99.1,5.3,30.6,4716,284,4725,133.5,143.2,17.2,37.1,52.5,,,,,,,,,,,
48,8 iron,Iron,03/21/2025 23:15:16,93.9,3.4,25.4,6924,75,6924,122.1,125.2,7.9,27.4,48.2,,,,,,,,,,,
49,8 iron,Iron,03/21/2025 23:15:35,98,3,24.5,6624,72,6624,129.8,133.1,7.6,29.1,48.4,,,,,,,,,,,
50,8 iron,Iron,03/21/2025 23:15:52,99.8,3.2,23.8,9027,644,9050,128,129,11.6,30,49.8,,,,,,,,,,,
51,8 iron,Iron,03/21/2025 23:16:08,102.6,2,15.1,7220,1073,7299,134.3,137.7,14,19.4,39.3,,,,,,,,,,,
52,8 iron,Iron,03/21/2025 23:16:29,91.8,4.7,24.8,6773,-147,6775,119,129,9.4,25.4,46.8,,,,,,,,,,,
53,8 iron,Iron,03/21/2025 23:16:47,98.8,7.1,28.4,7023,849,7074,127.4,134.6,24.6,34.4,52.2,,,,,,,,,,,
54,8 iron,Iron,03/21/2025 23:17:23,96.4,3.7,26.1,9040,793,9075,121.7,126.5,13.6,30.5,50.8,,,,,,,,,,,
55,8 iron,Iron,03/21/2025 23:17:42,96.2,6.4,28.2,6912,721,6950,124,131.1,21,32.2,51.3,,,,,,,,,,,
56,8 iron,Iron,03/21/2025 23:17:57,89.6,1.5,26.6,4787,-341,4799,119.1,131.3,-0.5,25.5,46.4,,,,,,,,,,,
57,8 iron,Iron,03/21/2025 23:18:17,92.1,2.9,22.3,7174,-39,7174,119,129.4,6.2,22.8,44.5,,,,,,,,,,,
58,8 iron,Iron,03/21/2025 23:18:31,93.3,-0.8,22.7,6757,-482,6774,121.7,125.5,-5.7,23.8,45.1,,,,,,,,,,,
59,8 iron,Iron,03/21/2025 23:18:48,102.6,0,20.9,8737,-815,8775,133.7,135.2,-6.2,27.8,47.6,,,,,,,,,,,
60,7 iron,Iron,03/21/2025 23:20:18,103.8,1.5,21.4,4679,-1069,4800,145.1,150.1,-10.8,27.3,44.8,,,,,,,,,,,
61,7 iron,Iron,03/21/2025 23:20:34,105.7,1.7,21.3,5080,-446,5100,148.1,152.2,-1.5,29.1,46,,,,,,,,,,,
62,7 iron,Iron,03/21/2025 23:21:10,105.5,1.8,23.1,4475,-817,4549,149.5,161.3,-8.6,31.1,47,,,,,,,,,,,
63,7 iron,Iron,03/21/2025 23:21:31,106.7,1.9,22.7,6368,-278,6374,145,149.4,1.8,32.2,48.8,,,,,,,,,,,
64,7 iron,Iron,03/21/2025 23:21:59,108.4,3.4,24,6194,-272,6200,147.7,150.6,5.8,35.2,50.3,,,,,,,,,,,
65,7 iron,Iron,03/21/2025 23:22:20,102.1,-2.1,19.4,5473,-1061,5575,139.2,150,-18.7,24.1,43,,,,,,,,,,,
66,7 iron,Iron,03/21/2025 23:22:37,106.6,3,23.6,6743,294,6749,143.3,145.8,10.9,33.6,50,,,,,,,,,,,
67,7 iron,Iron,03/21/2025 23:23:01,106.3,1.4,24.4,6732,480,6749,142.4,145.9,8.8,34.4,50.5,,,,,,,,,,,
68,7 iron,Iron,03/21/2025 23:23:24,109.4,0.4,21.6,6868,-302,6875,148.2,150.7,-2.3,32.6,49,,,,,,,,,,,
69,7 iron,Iron,03/21/2025 23:23:44,104.2,4.7,23.1,7633,502,7649,137.5,145.1,16.8,31.5,49.5,,,,,,,,,,,
70,7 iron,Iron,03/21/2025 23:24:09,110.1,0.1,21.2,6879,-528,6899,149.3,158,-6.2,32.4,48.8,,,,,,,,,,,
71,7 iron,Iron,03/21/2025 23:24:31,105.1,1.4,22.5,6373,-139,6375,142.6,146.5,2,31,48.3,,,,,,,,,,,
72,7 iron,Iron,03/21/2025 23:24:52,97.6,-1.4,21.6,3497,-739,3574,138.1,152.3,-16.3,23.4,41.2,,,,,,,,,,,
73,7 iron,Iron,03/21/2025 23:25:07,105.1,-0.7,20.5,7184,-473,7200,140.9,143.9,-6.3,28.4,46.9,,,,,,,,,,,
74,7 iron,Iron,03/21/2025 23:25:19,108,-0.4,17.9,6651,804,6699,146.6,149.7,7.5,26,44.4,,,,,,,,,,,
75,6 iron,Iron,03/21/2025 23:26:14,106.5,-0.5,20.2,3052,-777,3149,158.5,173.9,-19.7,26.1,41.1,,,,,,,,,,,
76,6 iron,Iron,03/21/2025 23:26:45,99.7,2.6,21.6,4220,184,4224,140.3,155.9,10.1,25.3,43.2,,,,,,,,,,,
77,6 iron,Iron,03/21/2025 23:27:03,110.6,3.3,21.3,5904,912,5974,152.9,162.5,22.1,32.4,48.2,,,,,,,,,,,
78,6 iron,Iron,03/21/2025 23:27:19,107.2,0.2,20.3,5436,387,5450,149.6,155.4,5.9,28.8,45.8,,,,,,,,,,,
79,6 iron,Iron,03/21/2025 23:27:45,102.7,3.4,20.6,4572,149,4574,144.5,154.6,11.3,26,43.5,,,,,,,,,,,
80,6 iron,Iron,03/21/2025 23:28:00,111.4,2.4,19.5,6873,603,6899,151.8,154.5,13.1,30.6,47.4,,,,,,,,,,,
81,6 iron,Iron,03/21/2025 23:28:35,104.3,2.1,21,3697,-448,3724,151.7,160.6,-2.3,26.9,43,,,,,,,,,,,
82,6 iron,Iron,03/21/2025 23:29:00,107.8,1.2,20.1,5972,-162,5974,148.8,154.8,1.2,29,46.2,,,,,,,,,,,
83,6 iron,Iron,03/21/2025 23:29:43,109.3,4.1,20.8,4949,80,4950,155.3,160.3,12.7,30.6,46.3,,,,,,,,,,,
84,6 iron,Iron,03/21/2025 23:30:04,113.1,2.4,21.5,6518,644,6550,154.9,157.9,14.4,34.7,49.5,,,,,,,,,,,
85,6 iron,Iron,03/21/2025 23:30:22,112.9,-0.2,20.5,6174,67,6174,156.4,160.1,0.2,33,48.3,,,,,,,,,,,
