Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
2,Wedge,Wedge,03/23/2025 20:29:07,70.2,7.4,38.8,6111,400,6124,77.9,88.4,11.5,23.6,0,0,,0,0,0,0,0,0,0,0,0
3,Wedge,Wedge,03/23/2025 20:29:06,69.7,3.3,35.9,307,168,350,91.8,108.4,8.1,18.4,0,0,,0,0,0,0,0,0,0,0,0
4,Wedge,Wedge,03/23/2025 20:29:07,65.1,4.7,34.7,6950,0,6950,71,82.3,5.8,17.7,0,0,,0,0,0,0,0,0,0,0,0
5,Wedge,Wedge,03/23/2025 20:29:07,68.7,2.7,33.6,7721,1102,7799,76.5,88,6.9,19.2,0,0,,0,0,0,0,0,0,0,0,0
6,Wedge,Wedge,03/23/2025 20:29:07,69.6,6.1,36.6,5222,170,5225,79.1,90.2,9.1,21.6,0,0,,0,0,0,0,0,0,0,0,0
7,Wedge,Wedge,03/23/2025 20:29:07,74.3,6.7,33.7,6265,-342,6274,87.1,98.5,8.5,22.6,0,0,,0,0,0,0,0,0,0,0,0
8,Wedge,Wedge,03/23/2025 20:29:07,73.2,2.4,33.7,8424,45,8424,83.1,94.3,3.7,22.1,0,0,,0,0,0,0,0,0,0,0,0
9,Wedge,Wedge,03/23/2025 20:29:07,77.6,1.3,33.5,8684,-521,8700,89.5,100.6,0,24.8,0,0,,0,0,0,0,0,0,0,0,0
10,Wedge,Wedge,03/23/2025 20:29:07,64,8.5,34.6,6171,816,6225,69.6,72.2,12.5,16.9,0,0,,0,0,0,0,0,0,0,0,0
11,Wedge,Wedge,03/23/2025 20:29:07,75.8,0.7,35.8,5964,-655,6000,88.6,99.7,-2.1,25.2,0,0,,0,0,0,0,0,0,0,0,0
12,Wedge,Wedge,03/23/2025 20:29:07,78.2,1.3,34.6,7141,-350,7150,91.7,94.3,0.5,26,0,0,,0,0,0,0,0,0,0,0,0
13,Iron,Iron,03/23/2025 20:29:07,87.6,3.9,29.7,7388,-403,7399,108.8,120.9,4.9,27.9,0,0,,0,0,0,0,0,0,0,0,0
14,Iron,Iron,03/23/2025 20:29:07,83.2,5.3,32.7,6418,282,6424,101.7,104.6,10.9,27.7,0,0,,0,0,0,0,0,0,0,0,0
15,Iron,Iron,03/23/2025 20:29:06,76.3,1,29,5337,-1219,5474,92.3,104.9,-4.8,19.5,0,0,,0,0,0,0,0,0,0,0,0
16,Iron,Iron,03/23/2025 20:29:07,84.3,5.5,30.5,7733,509,7750,102.6,114.8,12.5,26.5,0,0,,0,0,0,0,0,0,0,0,0
17,Iron,Iron,03/23/2025 20:29:07,72.7,8.2,31.5,9746,2000,9949,81.6,82.7,17.3,20.2,0,0,,0,0,0,0,0,0,0,0,0
18,Iron,Iron,03/23/2025 20:29:07,73.6,9.2,36.3,6145,605,6175,84.7,86.7,16.1,24.2,0,0,,0,0,0,0,0,0,0,0,0
19,Iron,Iron,03/23/2025 20:29:07,81.1,5.5,30.7,7992,351,8000,97.2,109.3,10.9,24.6,0,0,,0,0,0,0,0,0,0,0,0
20,Iron,Iron,03/23/2025 20:29:06,81.7,1,32.8,7021,-229,7025,98.2,110.1,0.4,26.8,0,0,,0,0,0,0,0,0,0,0,0
21,Iron,Iron,03/23/2025 20:29:06,83.6,4.2,31.3,9130,601,9150,99.2,100.3,9.9,27,0,0,,0,0,0,0,0,0,0,0,0
22,Iron,Iron,03/23/2025 20:29:07,83.8,3.1,32.7,7438,408,7449,101,103.9,7.5,28.3,0,0,,0,0,0,0,0,0,0,0,0
23,Iron,Iron,03/23/2025 20:29:06,87.1,0.6,28.9,8396,-229,8399,107,109,0,27,0,0,,0,0,0,0,0,0,0,0,0
24,Iron,Iron,03/23/2025 20:29:07,87.1,1.9,30.3,9379,617,9399,104.5,116.9,6.5,28.5,0,0,,0,0,0,0,0,0,0,0,0
25,Iron,Iron,03/23/2025 20:29:07,84.5,1.1,30.7,6069,-264,6075,105.4,117.5,0.3,26.6,0,0,,0,0,0,0,0,0,0,0,0
26,Iron,Iron,03/23/2025 20:29:07,85.3,-1.3,29.8,8042,-351,8050,104.1,116.1,-4.1,26.5,0,0,,0,0,0,0,0,0,0,0,0
27,Iron,Iron,03/23/2025 20:29:07,92.8,4.2,29.9,7996,922,8049,115.2,116,14.2,31.7,0,0,,0,0,0,0,0,0,0,0,0
28,Iron,Iron,03/23/2025 20:29:07,94.7,-1.6,26.3,8422,183,8424,119.8,131.9,-2.1,29.2,0,0,,0,0,0,0,0,0,0,0,0
29,Iron,Iron,03/23/2025 20:29:07,94.3,3.3,28.9,7833,516,7850,118.4,130.7,10.2,31.7,0,0,,0,0,0,0,0,0,0,0,0
30,Iron,Iron,03/23/2025 20:29:07,95.3,1.1,26.7,7973,-656,8000,121.1,124.2,-2.2,30,0,0,,0,0,0,0,0,0,0,0,0
31,Iron,Iron,03/23/2025 20:29:07,76.8,4.3,28.4,5293,581,5325,93.7,96,10.2,19.4,0,0,,0,0,0,0,0,0,0,0,0
32,Iron,Iron,03/23/2025 20:29:07,97.3,0.5,27.6,6308,-727,6350,127.1,139.4,-5.4,32,0,0,,0,0,0,0,0,0,0,0,0
33,Iron,Iron,03/23/2025 20:29:07,94.3,0.1,24.1,8416,370,8424,120.1,133.2,2.6,26.4,0,0,,0,0,0,0,0,0,0,0,0
