Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,LW,Wedge,05/12/2025 20:21:58,55.9,0.6,35.5,8818,-336,8824,54.5,54.2,0.2,13.2,46.9,,,,,,,,,,,
2,LW,Wedge,05/12/2025 20:22:29,44.7,3.6,50.2,3623,-98,3624,36.1,38,2.5,13.1,56,,,,,,,,,,,
3,LW,Wedge,05/12/2025 20:22:45,53.7,-1.8,36.6,8318,-317,8324,49.8,49.9,-2.1,12.2,47.3,,,,,,,,,,,
4,SW,Wedge,05/12/2025 20:23:39,62.6,-0.4,36.8,8831,-872,8874,65.1,64.5,-2.4,17.8,50.8,,,,,,,,,,,
5,SW,Wedge,05/12/2025 20:23:58,60.4,-0.2,41.1,4358,-381,4375,63.9,67.2,-1.6,18.9,52.1,,,,,,,,,,,
6,SW,Wedge,05/12/2025 20:24:16,60.4,-1.1,41.8,4253,-633,4300,62.5,66.1,-3.5,18.8,52.6,,,,,,,,,,,
7,GW,Wedge,05/12/2025 20:25:19,69.3,3,37.6,7224,39,7224,74.5,75.7,4.4,21.9,52.1,,,,,,,,,,,
8,GW,Wedge,05/12/2025 20:25:40,64.9,-1.6,32.7,5221,-1042,5324,71.1,76.1,-6.8,15.9,45.1,,,,,,,,,,,
9,GW,Wedge,05/12/2025 20:25:53,69.3,0.5,35.3,7822,-910,7875,76.2,77.3,-2.6,20.7,50.6,,,,,,,,,,,
10,GW,Wedge,05/12/2025 20:26:14,64.9,4,38.9,6879,528,6899,70,71.1,6.8,20.9,52.4,,,,,,,,,,,
11,GW,Wedge,05/12/2025 20:26:29,60.4,6.3,37.6,9498,991,9550,61.4,67,10.1,17.3,51.5,,,,,,,,,,,
12,GW,Wedge,05/12/2025 20:26:49,69.3,2.5,38,7527,578,7549,74.3,75.2,5.5,22.3,52.7,,,,,,,,,,,
13,GW,Wedge,05/12/2025 20:27:06,67.1,4.2,39.2,5874,96,5875,70.9,72.8,5.9,21.1,52.3,,,,,,,,,,,
14,PW,Wedge,05/12/2025 20:27:50,78.3,-1,30.8,8393,323,8399,92.5,93.6,0.3,23.4,49.7,,,,,,,,,,,
15,PW,Wedge,05/12/2025 20:28:11,76.1,1.4,30.7,5950,0,5950,91,95.1,2.4,21.2,47.3,,,,,,,,,,,
16,PW,Wedge,05/12/2025 20:29:05,76.1,1.3,34.4,7563,412,7574,87.6,88.8,3.9,24.5,51.6,,,,,,,,,,,
17,PW,Wedge,05/12/2025 20:29:21,78.3,0.1,31.7,6754,-786,6800,91.9,95,-4.6,23,49.2,,,,,,,,,,,
18,PW,Wedge,05/12/2025 20:29:40,78.3,3.6,33.1,7461,450,7475,93.1,94.9,8.7,25.6,51.4,,,,,,,,,,,
19,PW,Wedge,05/12/2025 20:29:59,76.1,4.9,39.3,5870,805,5925,87.3,96.4,13.2,28.9,55.1,,,,,,,,,,,
20,PW,Wedge,05/12/2025 20:30:16,78.3,0.5,32.2,6943,303,6950,92.1,94.5,2.4,23.8,49.9,,,,,,,,,,,
21,PW,Wedge,05/12/2025 20:30:31,80.5,2.7,36.3,6440,353,6450,94.2,97.4,7.2,29.2,53.9,,,,,,,,,,,
22,PW,Wedge,05/12/2025 20:30:50,78.3,2.9,32.5,8325,639,8349,91.2,92.2,7.9,24.6,50.7,,,,,,,,,,,
23,PW,Wedge,05/12/2025 20:31:06,78.3,2.1,30.9,9485,530,9500,91.3,91.4,5.8,23.6,50.4,,,,,,,,,,,
24,9i,Iron,05/12/2025 20:32:14,85,-2.2,28.2,5849,-95,5850,107.1,113,-5,24.3,47.7,,,,,,,,,,,
25,9i,Iron,05/12/2025 20:32:56,87.2,2,28.9,8697,955,8749,104.7,105.9,9.4,26.5,50.5,,,,,,,,,,,
26,9i,Iron,05/12/2025 20:33:38,82.8,3.1,28.4,9881,1362,9974,98.9,105.9,12.6,24.2,49.9,,,,,,,,,,,
27,9i,Iron,05/12/2025 20:33:58,85,0.5,29,5525,0,5525,108.2,114.7,0.9,25.3,48.4,,,,,,,,,,,
28,9i,Iron,05/12/2025 20:34:27,85,0.4,28.5,7949,-43,7949,104.1,106,0.4,25.2,49.3,,,,,,,,,,,
29,9i,Iron,05/12/2025 20:34:49,87.2,1.4,30.2,7829,1380,7950,107.8,110.4,11.2,28.7,51.7,,,,,,,,,,,
30,9i,Iron,05/12/2025 20:35:10,82.8,-0.5,29.7,7911,1484,8049,100.3,101.9,7.1,24.9,49.9,,,,,,,,,,,
31,9i,Iron,05/12/2025 20:35:31,85,3.3,29.5,8297,680,8325,102.4,103.9,10.2,25.8,50.3,,,,,,,,,,,
32,9i,Iron,05/12/2025 20:35:46,91.7,-1.7,28.3,7920,259,7924,113.4,114.9,-1.7,28.8,50.8,,,,,,,,,,,
33,8i,Iron,05/12/2025 20:37:13,98.4,-0.2,27,7782,812,7824,124.2,126.2,6.4,31.9,51.5,,,,,,,,,,,
34,8i,Iron,05/12/2025 20:37:33,96.2,-1.8,26.8,7200,0,7200,122.5,124.4,-3.7,30.1,50.4,,,,,,,,,,,
35,8i,Iron,05/12/2025 20:37:59,96.2,-0.5,25.5,7915,391,7925,124.3,126,1.9,29.8,50.1,,,,,,,,,,,
36,8i,Iron,05/12/2025 20:38:27,80.5,-2.7,22.1,3405,-552,3449,102,115,-12.7,15.1,36.5,,,,,,,,,,,
37,8i,Iron,05/12/2025 20:38:41,94,-0.1,24.2,6249,102,6250,123.7,128,0.9,26,47,,,,,,,,,,,
38,7i,Iron,05/12/2025 20:40:25,102.9,-2,24.4,5043,249,5049,139.8,146.6,-1.4,30.8,48.3,,,,,,,,,,,
