Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,SW,Wedge,05/18/2025 10:11:59,55.9,9.4,36.8,4892,268,4899,55.1,66.1,11.9,13.3,46.5,,,,,,,,,,,
2,SW,Wedge,05/18/2025 10:12:17,62.6,0.4,35.6,6150,0,6150,67.5,71.7,0.4,17,48.1,,,,,,,,,,,
3,SW,Wedge,05/18/2025 10:12:35,60.4,2.5,45.4,3149,-68,3150,62.2,68.4,2.6,21.2,55,,,,,,,,,,,
4,SW,Wedge,05/18/2025 10:13:38,62.6,-1.1,41.4,5257,-432,5275,65.9,69.9,-3.3,20.6,53.2,,,,,,,,,,,
5,SW,Wedge,05/18/2025 10:13:56,62.6,-0.7,44.1,3109,-307,3124,67.2,74.6,-2.7,22.2,54.4,,,,,,,,,,,
6,SW,Wedge,05/18/2025 10:14:29,64.9,0.5,45.3,2634,-288,2650,68.7,76.3,-1.3,23.5,55.2,,,,,,,,,,,
7,SW,Wedge,05/18/2025 10:14:46,58.2,6.3,48.6,2099,11,2099,56.4,61.9,6.9,20.3,56.3,,,,,,,,,,,
8,SW,Wedge,05/18/2025 10:14:58,67.1,-0.8,31.8,7311,441,7324,73.2,74.7,0.3,16.6,45.8,,,,,,,,,,,
9,SW,Wedge,05/18/2025 10:15:36,64.9,-1.3,40.1,5292,-288,5300,70.5,74.1,-2.9,21.4,52.8,,,,,,,,,,,
10,GW,Wedge,05/18/2025 10:16:49,69.3,4.2,43.8,3246,141,3249,77.1,85,7.5,26.7,55.5,,,,,,,,,,,
11,GW,Wedge,05/18/2025 10:17:09,73.8,-2.5,35.5,5899,-776,5950,86,88.4,-7.4,24.1,51.3,,,,,,,,,,,
12,GW,Wedge,05/18/2025 10:17:29,71.6,3.9,40.4,4769,234,4775,78.6,84.6,7.4,25.1,53.9,,,,,,,,,,,
13,GW,Wedge,05/18/2025 10:17:43,73.8,10.4,16.5,5265,6415,8299,66.3,70.4,26.2,6.5,25.6,,,,,,,,,,,
