Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Pitching Wedge,Wedge,08/30/2024 20:26:09,66.7,7,29.2,5558,-427,5574,75.5,83.7,8.3,14.8,42.2,,,,,,,,,,,
2,Pitching Wedge,Wedge,08/30/2024 20:26:48,73.3,3.2,28.9,5789,-349,5800,87.4,95.8,3.4,18.2,44.3,,,,,,,,,,,
3,Pitching Wedge,Wedge,08/30/2024 20:27:54,67.6,4,29.4,4172,-136,4174,78.3,88.9,5.4,15.2,41.7,,,,,,,,,,,
4,Pitching Wedge,Wedge,08/30/2024 20:28:58,91.5,0.1,24.2,8582,-1422,8699,115.6,116.8,-8.2,24.7,47.2,,,,,,,,,,,
5,Pitching Wedge,Wedge,08/30/2024 20:30:01,86.9,1.6,26.5,7869,-1128,7949,108.7,110.5,-3.5,24.4,47.7,,,,,,,,,,,
6,Pitching Wedge,Wedge,08/30/2024 20:31:05,79.5,16.7,25.1,2822,768,2925,102.6,118.3,42.8,17.1,38.4,,,,,,,,,,,
7,Pitching Wedge,Wedge,08/30/2024 20:31:48,80.9,-0.2,33.4,2992,-706,3074,106.1,113.9,-8.6,26.3,48.6,,,,,,,,,,,
8,Pitching Wedge,Wedge,08/30/2024 20:31:48,74.2,-0.2,33.2,2650,-364,2675,94.5,109.1,-4.6,21.7,46.1,,,,,,,,,,,
9,Pitching Wedge,Wedge,08/30/2024 20:31:49,69.7,1.3,26.7,3713,-1617,4050,80.4,92.7,-8.1,13.8,38.6,,,,,,,,,,,
10,Pitching Wedge,Wedge,08/30/2024 20:31:49,77.5,3.9,31.7,4598,-1617,4874,95.2,104.9,-5,22.4,47.7,,,,,,,,,,,
11,Pitching Wedge,Wedge,08/30/2024 20:31:49,88.8,1.8,27.5,8040,394,8050,111.4,112.9,5.8,26.7,49.3,,,,,,,,,,,
12,Pitching Wedge,Wedge,08/30/2024 20:31:50,76.5,0.4,26.9,5796,189,5799,93,102.1,1.9,18.2,43.1,,,,,,,,,,,
13,Pitching Wedge,Wedge,08/30/2024 20:31:50,71.8,-1.4,25.8,4529,-1510,4774,83.9,95.1,-11.3,14.3,39,,,,,,,,,,,
14,Pitching Wedge,Wedge,08/30/2024 20:31:51,81.6,2,23.6,9837,1796,10000,97.9,103.2,11.5,18.7,43.9,,,,,,,,,,,
15,Pitching Wedge,Wedge,08/30/2024 20:31:51,81.3,0,30.8,4944,-1025,5049,102.2,107.6,-7.9,24.3,48.2,,,,,,,,,,,
16,Pitching Wedge,Wedge,08/30/2024 20:32:04,83.1,1.6,30.9,3455,-553,3499,109.9,118.4,-3,25.5,47.3,,,,,,,,,,,
17,Pitching Wedge,Wedge,08/30/2024 20:32:24,63.7,13,25.8,3205,972,3349,69.1,82.2,23.7,10.7,35.1,,,,,,,,,,,
18,9 iron,Iron,08/30/2024 20:33:24,88.8,2.1,25,6712,-403,6724,113.9,117.7,1.3,23.7,46,,,,,,,,,,,
19,9 iron,Iron,08/30/2024 20:33:47,91.5,0.6,30.1,3765,268,3775,125.1,129.6,4.9,30.6,49.2,,,,,,,,,,,
20,9 iron,Iron,08/30/2024 20:34:10,78.1,1.4,23.6,4933,-953,5024,95.7,107.3,-4.2,15.8,39,,,,,,,,,,,
21,9 iron,Iron,08/30/2024 20:35:31,97.1,2,25.6,6743,294,6749,127.7,129.8,7.2,29.8,49.2,,,,,,,,,,,
22,9 iron,Iron,08/30/2024 20:35:54,82.6,2.2,25.9,5846,575,5874,104.2,113.2,8.6,20.8,44.3,,,,,,,,,,,
23,9 iron,Iron,08/30/2024 20:36:08,87.3,0.9,24.7,5619,-1796,5899,111.7,120.2,-12.8,21.7,44.2,,,,,,,,,,,
24,9 iron,Iron,08/30/2024 20:36:33,91.2,-3,27.5,3901,-429,3925,124.8,130,-12.1,27.3,46.7,,,,,,,,,,,
25,9 iron,Iron,08/30/2024 20:37:01,86,3.1,29.7,4321,165,4324,113.1,120.4,8.3,26.5,48,,,,,,,,,,,
26,9 iron,Iron,08/30/2024 20:37:31,94.6,-1.1,27.5,5199,28,5199,126.7,130.3,-2.3,30,49.1,,,,,,,,,,,
27,9 iron,Iron,08/30/2024 20:37:50,77.1,2,24.5,4013,-307,4025,95.8,108.3,1.2,16,38.8,,,,,,,,,,,
28,9 iron,Iron,08/30/2024 20:39:08,94.4,0.7,30.8,2962,-276,2975,134.5,147.6,-3.6,33.3,49.4,,,,,,,,,,,
29,9 iron,Iron,08/30/2024 20:39:35,97.4,4.2,32.7,2131,280,2149,146.1,161.8,19.7,37.6,50.1,,,,,,,,,,,
30,9 iron,Iron,08/30/2024 20:39:56,87.7,-1.2,29,1848,-316,1875,128,145.5,-10.6,25.6,43.1,,,,,,,,,,,
31,9 iron,Iron,08/30/2024 20:40:28,93.8,2.3,26.7,8497,-185,8499,118.7,119.9,3.7,29.3,50.3,,,,,,,,,,,
32,9 iron,Iron,08/30/2024 20:41:04,85.9,1.5,24.3,6711,-925,6774,108.6,119.3,-3.8,21.2,44.2,,,,,,,,,,,
33,9 iron,Iron,08/30/2024 20:41:28,82.2,3.4,26.3,5012,-1068,5125,104.2,114.7,-1.9,20.5,43.8,,,,,,,,,,,
34,9 iron,Iron,08/30/2024 20:41:55,88.2,5.1,31.3,3946,-172,3950,117.8,124.1,9,29.7,49.7,,,,,,,,,,,
35,9 iron,Iron,08/30/2024 20:42:39,90.6,1.6,24,8050,-1561,8200,114.7,116.6,-6.4,23.8,46.4,,,,,,,,,,,
36,9 iron,Iron,08/30/2024 20:44:08,94.2,0.1,26.4,6640,-1212,6750,122.4,124.7,-9.5,28.6,49,,,,,,,,,,,
37,9 iron,Iron,08/30/2024 20:45:15,94.7,4.8,32.4,3914,690,3974,128,139.3,21.8,35.5,52.2,,,,,,,,,,,
38,9 iron,Iron,08/30/2024 20:50:21,89.8,-2.7,26.5,6142,-303,6149,116.4,120.9,-8.1,25.9,47.4,,,,,,,,,,,
39,9 iron,Iron,08/30/2024 20:50:40,95.1,3.1,32.5,4312,331,4325,127.1,131.1,11.1,36.2,52.7,,,,,,,,,,,
40,9 iron,Iron,08/30/2024 20:51:02,85.3,1.8,24.9,6132,469,6150,108.8,120.1,7.6,21.4,44.3,,,,,,,,,,,
41,9 iron,Iron,08/30/2024 20:51:23,83.7,6.5,27.7,7223,157,7225,104.2,111.5,13.5,23.5,47.4,,,,,,,,,,,
42,9 iron,Iron,08/30/2024 20:51:37,90.4,-1.2,24.9,5448,118,5449,119.2,124.5,-1.5,24.2,45.4,,,,,,,,,,,
43,8 iron,Iron,08/30/2024 20:55:22,95.4,1.8,23.1,7470,-903,7524,124,126.7,-2.9,25.7,46.7,,,,,,,,,,,
44,8 iron,Iron,08/30/2024 20:56:25,100.5,1.4,24.8,4892,-270,4899,139.2,143.5,0.2,30.5,47.8,,,,,,,,,,,
45,8 iron,Iron,08/30/2024 20:57:29,105.8,0.4,22.4,6616,-2708,7149,140,147.8,-27.7,29.8,48.4,,,,,,,,,,,
46,8 iron,Iron,08/30/2024 20:58:48,102.3,2.8,26,7359,-484,7375,133.9,136.1,2.4,34,51.2,,,,,,,,,,,
47,8 iron,Iron,08/30/2024 20:59:04,81.8,0.3,23.2,2445,-953,2624,106.4,124,-12.8,16,35.8,,,,,,,,,,,
48,8 iron,Iron,08/30/2024 20:59:21,95.5,0.8,25.3,5959,-425,5974,126.9,131.8,-2.3,28.1,47.8,,,,,,,,,,,
49,8 iron,Iron,08/30/2024 20:59:45,89,5.9,24.7,3799,81,3800,121.2,132.3,14.7,22.7,42.8,,,,,,,,,,,
50,8 iron,Iron,08/30/2024 21:00:50,97.5,0.3,25.6,4745,-1002,4850,133.2,137.3,-11,29.1,47.6,,,,,,,,,,,
51,8 iron,Iron,08/30/2024 21:01:06,102.5,3.3,23.9,8848,-679,8874,132.2,133.4,2.6,31.7,50.3,,,,,,,,,,,
